state,fips_code,county,diabetes_count,diabetes%
Alabama,1001,Autauga County,4724.0,12.0
Alabama,1003,Baldwin County,15437.0,10.8
Alabama,1005,Barbour County,3377.0,16.2
Alabama,1007,Bibb County,2276.0,13.2
Alabama,1009,Blount County,5869.0,13.8
Alabama,1011,Bullock County,1527.0,18.6
Alabama,1013,Butler County,2507.0,16.4
Alabama,1015,Calhoun County,12582.0,14.3
Alabama,1017,Chambers County,4102.0,15.8
Alabama,1019,Cherokee County,2993.0,14.9
Alabama,1021,Chilton County,4234.0,13.2
Alabama,1023,Choctaw County,1960.0,18.9
Alabama,1025,Clarke County,2948.0,15.8
Alabama,1027,Clay County,1455.0,14.3
Alabama,1029,Cleburne County,1484.0,13.3
Alabama,1031,Coffee County,5313.0,14.0
Alabama,1033,Colbert County,6928.0,16.8
Alabama,1035,Conecuh County,1746.0,17.8
Alabama,1037,Coosa County,1441.0,16.7
Alabama,1039,Covington County,4435.0,15.5
Alabama,1041,Crenshaw County,1604.0,15.4
Alabama,1043,Cullman County,8293.0,13.7
Alabama,1045,Dale County,5358.0,14.5
Alabama,1047,Dallas County,5347.0,17.5
Alabama,1049,DeKalb County,7716.0,15.0
Alabama,1051,Elmore County,7530.0,12.6
Alabama,1053,Escambia County,4630.0,16.1
Alabama,1055,Etowah County,11804.0,15.1
Alabama,1057,Fayette County,2045.0,15.8
Alabama,1059,Franklin County,3121.0,13.5
Alabama,1061,Geneva County,2996.0,14.7
Alabama,1063,Greene County,1379.0,21.0
Alabama,1065,Hale County,1956.0,17.2
Alabama,1067,Henry County,2188.0,16.7
Alabama,1069,Houston County,10657.0,14.0
Alabama,1071,Jackson County,5735.0,14.3
Alabama,1073,Jefferson County,60238.0,12.3
Alabama,1075,Lamar County,1748.0,16.1
Alabama,1077,Lauderdale County,9158.0,13.0
Alabama,1079,Lawrence County,3977.0,15.7
Alabama,1081,Lee County,10552.0,9.7
Alabama,1083,Limestone County,7745.0,11.9
Alabama,1085,Lowndes County,1880.0,23.5
Alabama,1087,Macon County,2708.0,17.8
Alabama,1089,Madison County,29744.0,11.7
Alabama,1091,Marengo County,2778.0,18.5
Alabama,1093,Marion County,3884.0,16.6
Alabama,1095,Marshall County,9247.0,13.5
Alabama,1097,Mobile County,41997.0,13.9
Alabama,1099,Monroe County,2660.0,16.1
Alabama,1101,Montgomery County,22734.0,13.8
Alabama,1103,Morgan County,12160.0,13.6
Alabama,1105,Perry County,1285.0,17.9
Alabama,1107,Pickens County,2584.0,17.8
