State,fips_code,County,number,percent
Alabama,1001,Autauga County,12184.0,30.9
Alabama,1003,Baldwin County,38245.0,26.7
Alabama,1005,Barbour County,8482.0,40.8
Alabama,1007,Bibb County,6926.0,40.1
Alabama,1009,Blount County,13789.0,32.4
Alabama,1011,Bullock County,3651.0,44.5
Alabama,1013,Butler County,5514.0,36.0
Alabama,1015,Calhoun County,28107.0,32.0
Alabama,1017,Chambers County,10300.0,39.8
Alabama,1019,Cherokee County,6572.0,32.7
Alabama,1021,Chilton County,11899.0,37.1
Alabama,1023,Choctaw County,4007.0,38.7
Alabama,1025,Clarke County,6722.0,36.1
Alabama,1027,Clay County,3841.0,37.7
Alabama,1029,Cleburne County,3336.0,30.0
Alabama,1031,Coffee County,11446.0,30.2
Alabama,1033,Colbert County,15140.0,36.6
Alabama,1035,Conecuh County,3652.0,37.2
Alabama,1037,Coosa County,3355.0,38.8
Alabama,1039,Covington County,9059.0,31.6
Alabama,1041,Crenshaw County,3812.0,36.6
Alabama,1043,Cullman County,20977.0,34.7
Alabama,1045,Dale County,13416.0,36.2
Alabama,1047,Dallas County,12962.0,42.4
Alabama,1049,DeKalb County,15773.0,30.6
Alabama,1051,Elmore County,18042.0,30.3
Alabama,1053,Escambia County,11309.0,39.4
Alabama,1055,Etowah County,27163.0,34.7
Alabama,1057,Fayette County,4178.0,32.4
Alabama,1059,Franklin County,7904.0,34.2
Alabama,1061,Geneva County,7089.0,34.7
Alabama,1063,Greene County,3009.0,45.9
Alabama,1065,Hale County,4076.0,35.9
Alabama,1067,Henry County,4612.0,35.2
Alabama,1069,Houston County,25541.0,33.6
Alabama,1071,Jackson County,12300.0,30.6
Alabama,1073,Jefferson County,164418.0,33.7
Alabama,1075,Lamar County,3533.0,32.5
Alabama,1077,Lauderdale County,22231.0,31.6
Alabama,1079,Lawrence County,9211.0,36.3
Alabama,1081,Lee County,32031.0,29.5
Alabama,1083,Limestone County,21752.0,33.5
Alabama,1085,Lowndes County,3716.0,46.4
Alabama,1087,Macon County,6439.0,42.4
Alabama,1089,Madison County,79225.0,31.2
Alabama,1091,Marengo County,6202.0,41.3
Alabama,1093,Marion County,8152.0,34.9
Alabama,1095,Marshall County,24051.0,35.0
Alabama,1097,Mobile County,108908.0,36.1
Alabama,1099,Monroe County,6158.0,37.2
Alabama,1101,Montgomery County,55496.0,33.6
Alabama,1103,Morgan County,28712.0,32.2
Alabama,1105,Perry County,2719.0,37.8
Alabama,1107,Pickens County,5443.0,37.4
Alabama,1109,Pike County,8468.0,34.1
Alabama,1111,Randolph County,5606.0,33.2
Alabama,1113,Russell County,14501.0,34.8
Alabama,1115,St. Clair County,20990.0,33.1
Alabama,1117,Shelby County,45736.0,31.3
Alabama,1119,Sumter County,3935.0,39.6
Alabama,1121,Talladega County,23018.0,37.6
Alabama,1123,Tallapoosa County,11426.0,36.5
Alabama,1125,Tuscaloosa County,47870.0,32.7
Alabama,1127,Walker County,16436.0,32.9
Alabama,1129,Washington County,4530.0,36.0
Alabama,1131,Wilcox County,3627.0,44.4
Alabama,1133,Winston County,5323.0,28.7
Alaska,2013,Aleutians East Borough,854.0,31.1
Alaska,2016,Aleutians West,1709.0,36.2
Alaska,2020,Anchorage Municipality,57981.0,27.0
Alaska,2050,Bethel Census Area,3382.0,31.6
Alaska,2060,Bristol Bay Borough,248.0,34.1
Alaska,2068,Denali Borough,354.0,24.7
Alaska,2070,Dillingham Census Area,1130.0,35.3
Alaska,2090,Fairbanks North Star,20703.0,28.6
Alaska,2100,Haines Borough,533.0,26.5
Alaska,2105,Hoonah-Angoon 2009 Census,524.0,31.5
Alaska,2110,Juneau City and Borough,6546.0,27.0
Alaska,2122,Kenai Peninsula Borough,11870.0,28.0
Alaska,2130,Ketchikan Gateway Borough,3002.0,29.3
Alaska,2150,Kodiak Island Borough,2905.0,29.3
Alaska,2164,Lake and Peninsula Borough,359.0,32.4
Alaska,2170,Matanuska-Susitna Borough,18764.0,28.9
Alaska,2180,Nome Census Area,2052.0,33.3
Alaska,2185,North Slope Borough,2482.0,35.3
Alaska,2188,Northwest Arctic Borough,1542.0,32.5
Alaska,2195,Petersburg 2009 Census,857.0,29.8
Alaska,2198,Prince of Wales-Hyder 2009 Census,1479.0,35.3
Alaska,2201,Prince of Wales-Outer K 2004 to 2008 Census,,
Alaska,2220,Sitka City and Borough,1827.0,27.0
Alaska,2230,Skagway Municipality 2009 Census,255.0,30.6
Alaska,2232,Hoonah-Angoon 2004 to 2008 Census,,
Alaska,2240,Southeast Fairbanks Census,1689.0,33.0
Alaska,2261,Valdez-Cordova Census Area,2147.0,30.4
Alaska,2270,Wade Hampton Census Area,1470.0,34.4
Alaska,2275,Wrangell City and Borough 2009 Census,536.0,29.4
Alaska,2280,Wrangell-Petersburg 2004 to 2008 Census,,
Alaska,2282,Yakutat City and Borough,159.0,32.1
Alaska,2290,Yukon-Koyukuk Census Area,1066.0,26.5
Arizona,4001,Apache County,15828.0,32.8
Arizona,4003,Cochise County,24204.0,24.7
Arizona,4005,Coconino County,20862.0,21.5
Arizona,4007,Gila County,10954.0,26.8
Arizona,4009,Graham County,8069.0,31.8
Arizona,4011,Greenlee County,2001.0,33.4
Arizona,4012,La Paz County,5158.0,31.5
Arizona,4013,Maricopa County,628879.0,22.2
Arizona,4015,Mohave County,44696.0,28.1
Arizona,4017,Navajo County,22642.0,30.9
Arizona,4019,Pima County,160157.0,21.7
Arizona,4021,Pinal County,83544.0,29.9
Arizona,4023,Santa Cruz County,6725.0,21.2
Arizona,4025,Yavapai County,41863.0,24.7
Arizona,4027,Yuma County,42665.0,30.4
Arkansas,5001,Arkansas County,4803.0,34.0
Arkansas,5003,Ashley County,6318.0,39.8
Arkansas,5005,Baxter County,9564.0,29.0
Arkansas,5007,Benton County,46473.0,28.4
Arkansas,5009,Boone County,8169.0,29.2
Arkansas,5011,Bradley County,3143.0,37.1
Arkansas,5013,Calhoun County,1470.0,35.0
Arkansas,5015,Carroll County,7560.0,36.2
Arkansas,5017,Chicot County,3354.0,39.2
Arkansas,5019,Clark County,5333.0,31.8
Arkansas,5021,Clay County,3893.0,32.7
Arkansas,5023,Cleburne County,6295.0,31.2
Arkansas,5025,Cleveland County,2337.0,36.7
Arkansas,5027,Columbia County,6748.0,38.1
Arkansas,5029,Conway County,6175.0,39.1
Arkansas,5031,Craighead County,26152.0,36.4
Arkansas,5033,Crawford County,16105.0,36.1
Arkansas,5035,Crittenden County,13250.0,38.4
Arkansas,5037,Cross County,4849.0,37.7
Arkansas,5039,Dallas County,2168.0,36.2
Arkansas,5041,Desha County,3502.0,38.8
Arkansas,5043,Drew County,4211.0,30.8
Arkansas,5045,Faulkner County,24825.0,28.9
Arkansas,5047,Franklin County,4858.0,36.8
Arkansas,5049,Fulton County,3041.0,32.0
Arkansas,5051,Garland County,23118.0,31.0
Arkansas,5053,Grant County,4879.0,36.6
Arkansas,5055,Greene County,10688.0,34.1
Arkansas,5057,Hempstead County,6598.0,41.2
Arkansas,5059,Hot Spring County,8208.0,32.5
Arkansas,5061,Howard County,3663.0,37.3
Arkansas,5063,Independence County,9221.0,34.0
Arkansas,5065,Izard County,3542.0,33.0
Arkansas,5067,Jackson County,5460.0,40.1
Arkansas,5069,Jefferson County,21350.0,39.0
Arkansas,5071,Johnson County,6491.0,34.7
Arkansas,5073,Lafayette County,1927.0,34.0
Arkansas,5075,Lawrence County,4222.0,33.3
Arkansas,5077,Lee County,2785.0,35.2
Arkansas,5079,Lincoln County,4004.0,35.7
Arkansas,5081,Little River County,3174.0,33.1
Arkansas,5083,Logan County,5751.0,35.3
Arkansas,5085,Lonoke County,16799.0,33.9
Arkansas,5087,Madison County,3795.0,32.9
Arkansas,5089,Marion County,4129.0,30.8
Arkansas,5091,Miller County,10749.0,33.5
Arkansas,5093,Mississippi County,12032.0,37.7
Arkansas,5095,Monroe County,2211.0,37.1
Arkansas,5097,Montgomery County,2404.0,33.1
Arkansas,5099,Nevada County,2284.0,34.3
Arkansas,5101,Newton County,2316.0,36.7
Arkansas,5103,Ouachita County,7151.0,37.8
Arkansas,5105,Perry County,2818.0,36.1
Arkansas,5107,Phillips County,6019.0,41.5
Arkansas,5109,Pike County,3080.0,37.3
Arkansas,5111,Poinsett County,7233.0,40.4
Arkansas,5113,Polk County,4878.0,32.0
Arkansas,5115,Pope County,14910.0,32.8
Arkansas,5117,Prairie County,2302.0,35.3
Arkansas,5119,Pulaski County,90591.0,31.5
Arkansas,5121,Randolph County,4743.0,35.3
Arkansas,5123,St. Francis County,8373.0,40.4
Arkansas,5125,Saline County,26045.0,31.5
Arkansas,5127,Scott County,2509.0,31.3
Arkansas,5129,Searcy County,1989.0,31.8
Arkansas,5131,Sebastian County,32567.0,35.2
Arkansas,5133,Sevier County,4664.0,39.8
Arkansas,5135,Sharp County,4372.0,33.4
Arkansas,5137,Stone County,3423.0,35.1
Arkansas,5139,Union County,10716.0,35.5
Arkansas,5141,Van Buren County,4662.0,35.0
Arkansas,5143,Washington County,43593.0,29.2
Arkansas,5145,White County,20195.0,35.4
Arkansas,5147,Woodruff County,1927.0,36.1
Arkansas,5149,Yell County,5551.0,35.2
California,6001,Alameda County,233862.0,20.0
California,6003,Alpine County,208.0,23.7
California,6005,Amador County,8108.0,26.6
California,6007,Butte County,42180.0,25.2
California,6009,Calaveras County,8982.0,25.3
California,6011,Colusa County,3450.0,23.7
California,6013,Contra Costa County,180906.0,22.9
California,6015,Del Norte County,5878.0,27.2
California,6017,El Dorado County,26657.0,19.4
California,6019,Fresno County,184671.0,28.8
California,6021,Glenn County,5530.0,28.3
California,6023,Humboldt County,25312.0,24.5
California,6025,Imperial County,30028.0,25.0
California,6027,Inyo County,3249.0,22.9
California,6029,Kern County,163742.0,28.5
California,6031,Kings County,26264.0,24.9
California,6033,Lake County,13158.0,26.6
California,6035,Lassen County,6748.0,24.9
California,6037,Los Angeles County,1536910.0,21.0
California,6039,Madera County,28005.0,26.7
California,6041,Marin County,35810.0,18.1
California,6043,Mariposa County,3380.0,23.4
California,6045,Mendocino County,15396.0,23.2
California,6047,Merced County,50368.0,29.3
California,6049,Modoc County,1759.0,24.6
California,6051,Mono County,2460.0,22.2
California,6053,Monterey County,71126.0,23.7
California,6055,Napa County,25231.0,24.3
California,6057,Nevada County,15610.0,20.0
California,6059,Orange County,449055.0,19.8
California,6061,Placer County,60740.0,22.7
California,6063,Plumas County,3705.0,24.0
California,6065,Riverside County,402422.0,25.5
California,6067,Sacramento County,279803.0,26.6
California,6069,San Benito County,9376.0,23.9
California,6071,San Bernardino County,409338.0,28.7
California,6073,San Diego County,476528.0,20.2
California,6075,San Francisco County,104167.0,14.8
California,6077,San Joaquin County,141173.0,29.4
California,6079,San Luis Obispo County,45974.0,21.8
California,6081,San Mateo County,112791.0,20.1
California,6083,Santa Barbara County,59515.0,19.0
California,6085,Santa Clara County,264012.0,19.5
California,6087,Santa Cruz County,40856.0,20.6
California,6089,Shasta County,36757.0,27.2
California,6091,Sierra County,598.0,23.8
California,6093,Siskiyou County,7845.0,22.9
California,6095,Solano County,91691.0,29.5
California,6097,Sonoma County,80682.0,21.6
California,6099,Stanislaus County,116722.0,32.4
California,6101,Sutter County,18675.0,28.0
California,6103,Tehama County,13285.0,28.8
California,6105,Trinity County,2892.0,26.5
California,6107,Tulare County,86177.0,29.5
California,6109,Tuolumne County,9013.0,20.6
California,6111,Ventura County,123993.0,20.6
California,6113,Yolo County,29899.0,20.2
California,6115,Yuba County,12992.0,25.9
Colorado,8001,Adams County,82385.0,25.8
Colorado,8003,Alamosa County,2567.0,22.8
Colorado,8005,Arapahoe County,91044.0,21.0
Colorado,8007,Archuleta County,1547.0,16.2
Colorado,8009,Baca County,592.0,20.6
Colorado,8011,Bent County,1142.0,24.4
Colorado,8013,Boulder County,30354.0,13.3
Colorado,8014,Broomfield County,7707.0,18.2
Colorado,8015,Chaffee County,2847.0,19.1
Colorado,8017,Cheyenne County,333.0,24.5
Colorado,8019,Clear Creek County,1261.0,16.9
Colorado,8021,Conejos County,1242.0,21.5
Colorado,8023,Costilla County,596.0,21.4
Colorado,8025,Crowley County,1029.0,22.6
Colorado,8027,Custer County,729.0,20.7
Colorado,8029,Delta County,4993.0,21.5
Colorado,8031,Denver County,82972.0,17.0
Colorado,8033,Dolores County,320.0,21.1
Colorado,8035,Douglas County,34424.0,16.9
Colorado,8037,Eagle County,4102.0,10.7
Colorado,8039,Elbert County,3263.0,18.9
Colorado,8041,El Paso County,98478.0,21.4
