state,fips_code,ansi_code,county_name,population,housing_units,area_land_mt,area_water_mt,area_land_mi,area_water_mi,latitude,logitude
AL,1001.0,161526.0,Autauga County,54571.0,22135.0,1539582278.0,25775735.0,594.436,9.952,32.536382,-86.64449
AL,1003.0,161527.0,Baldwin County,182265.0,104061.0,4117521611.0,1133190229.0,1589.784,437.527,30.659218,-87.746067
AL,1005.0,161528.0,Barbour County,27457.0,11829.0,2291818968.0,50864716.0,884.876,19.639,31.87067,-85.405456
AL,1007.0,161529.0,Bibb County,22915.0,8981.0,1612480789.0,9289057.0,622.582,3.587,33.015893,-87.127148
AL,1009.0,161530.0,Blount County,57322.0,23887.0,1669961855.0,15157440.0,644.776,5.852,33.977448,-86.567246
AL,1011.0,161531.0,Bullock County,10914.0,4493.0,1613056905.0,6056528.0,622.805,2.338,32.101759,-85.717261
AL,1013.0,161532.0,Butler County,20947.0,9964.0,2011976894.0,2726814.0,776.829,1.053,31.751667,-86.681969
AL,1015.0,161533.0,Calhoun County,118572.0,53289.0,1569189995.0,16624267.0,605.868,6.419,33.771706,-85.822513
AL,1017.0,161534.0,Chambers County,34215.0,17004.0,1545009282.0,17048142.0,596.531,6.582,32.917943,-85.391812
AL,1019.0,161535.0,Cherokee County,25989.0,16267.0,1434075952.0,119858898.0,553.7,46.278,34.069515,-85.654242
AL,1021.0,161536.0,Chilton County,43643.0,19278.0,1794483586.0,20586383.0,692.854,7.948,32.854059,-86.726627
AL,1023.0,161537.0,Choctaw County,13859.0,7269.0,2365954748.0,19059251.0,913.5,7.359,31.991008,-88.248887
AL,1025.0,161538.0,Clarke County,25833.0,12638.0,3207609488.0,36542656.0,1238.465,14.109,31.685521,-87.818624
AL,1027.0,161539.0,Clay County,13932.0,6776.0,1564252280.0,5284628.0,603.961,2.04,33.267809,-85.862051
AL,1029.0,161540.0,Cleburne County,14972.0,6718.0,1450652767.0,2365681.0,560.1,0.913,33.671981,-85.516109
