county_name,fips_code,drug_deaths
"Autauga County, AL",1001,22.0
"Baldwin County, AL",1003,34.0
"Barbour County, AL",1005,22.0
"Bibb County, AL",1007,22.0
"Blount County, AL",1009,18.0
"Bullock County, AL",1011,22.0
"Butler County, AL",1013,22.0
"Calhoun County, AL",1015,22.0
"Chambers County, AL",1017,22.0
"Cherokee County, AL",1019,22.0
"Chilton County, AL",1021,22.0
"Choctaw County, AL",1023,22.0
"Clarke County, AL",1025,22.0
"Clay County, AL",1027,22.0
"Cleburne County, AL",1029,22.0
"Coffee County, AL",1031,22.0
"Colbert County, AL",1033,22.0
"Conecuh County, AL",1035,22.0
"Coosa County, AL",1037,22.0
"Covington County, AL",1039,22.0
"Crenshaw County, AL",1041,22.0
"Cullman County, AL",1043,13.0
"Dale County, AL",1045,22.0
"Dallas County, AL",1047,22.0
"DeKalb County, AL",1049,16.0
"Elmore County, AL",1051,22.0
"Escambia County, AL",1053,10.0
"Etowah County, AL",1055,10.0
"Fayette County, AL",1057,22.0
"Franklin County, AL",1059,22.0
"Geneva County, AL",1061,22.0
"Greene County, AL",1063,22.0
"Hale County, AL",1065,22.0
"Henry County, AL",1067,22.0
"Houston County, AL",1069,10.0
"Jackson County, AL",1071,14.0
"Jefferson County, AL",1073,115.0
"Lamar County, AL",1075,22.0
"Lauderdale County, AL",1077,22.0
"Lawrence County, AL",1079,22.0
"Lee County, AL",1081,10.0
"Limestone County, AL",1083,22.0
"Lowndes County, AL",1085,22.0
"Macon County, AL",1087,22.0
"Madison County, AL",1089,30.0
"Marengo County, AL",1091,22.0
"Marion County, AL",1093,22.0
"Marshall County, AL",1095,14.0
"Mobile County, AL",1097,59.0
"Monroe County, AL",1099,22.0
"Montgomery County, AL",1101,18.0
"Morgan County, AL",1103,21.0
"Perry County, AL",1105,22.0
"Pickens County, AL",1107,22.0
"Pike County, AL",1109,22.0
"Randolph County, AL",1111,22.0
"Russell County, AL",1113,22.0
"St. Clair County, AL",1115,12.0
"Shelby County, AL",1117,39.0
"Sumter County, AL",1119,22.0
"Talladega County, AL",1121,10.0
"Tallapoosa County, AL",1123,22.0
"Tuscaloosa County, AL",1125,33.0
"Walker County, AL",1127,24.0
"Washington County, AL",1129,22.0
"Wilcox County, AL",1131,22.0
"Winston County, AL",1133,22.0
"Aleutians East Borough, AK",2013,22.0
"Aleutians West Census Area, AK",2016,22.0
"Anchorage Borough, AK",2020,63.0
"Bethel Census Area, AK",2050,22.0
"Bristol Bay Borough, AK",2060,22.0
"Denali Borough, AK",2068,22.0
"Dillingham Census Area, AK",2070,22.0
"Fairbanks North Star Borough, AK",2090,11.0
"Haines Borough, AK",2100,22.0
"Hoonah-Angoon Census Area, AK",2105,22.0
"Juneau Borough, AK",2110,22.0
"Kenai Peninsula Borough, AK",2122,12.0
"Ketchikan Gateway Borough, AK",2130,22.0
"Kodiak Island Borough, AK",2150,22.0
"Lake and Peninsula Borough, AK",2164,22.0
"Matanuska-Susitna Borough, AK",2170,24.0
"Nome Census Area, AK",2180,22.0
"North Slope Borough, AK",2185,22.0
"Northwest Arctic Borough, AK",2188,22.0
"Petersburg Borough/Census Area, AK",2195,22.0
"Prince of Wales-Hyder Census Area, AK",2198,22.0
"Prince of Wales-Outer Ketchikan Census Area, AK",2201,22.0
"Sitka Borough, AK",2220,22.0
"Skagway Municipality, AK",2230,22.0
"Skagway-Hoonah-Angoon Census Area, AK",2232,22.0
"Southeast Fairbanks Census Area, AK",2240,22.0
"Valdez-Cordova Census Area, AK",2261,22.0
"Wade Hampton Census Area, AK",2270,22.0
"Wrangell City and Borough, AK",2275,22.0
"Wrangell-Petersburg Census Area, AK",2280,22.0
"Yakutat Borough, AK",2282,22.0
"Yukon-Koyukuk Census Area, AK",2290,22.0
"Apache County, AZ",4001,22.0
"Cochise County, AZ",4003,25.0
"Coconino County, AZ",4005,11.0
"Gila County, AZ",4007,11.0
"Graham County, AZ",4009,22.0
"Greenlee County, AZ",4011,22.0
"La Paz County, AZ",4012,22.0
"Maricopa County, AZ",4013,682.0
"Mohave County, AZ",4015,68.0
"Navajo County, AZ",4017,20.0
"Pima County, AZ",4019,221.0
"Pinal County, AZ",4021,48.0
"Santa Cruz County, AZ",4023,22.0
"Yavapai County, AZ",4025,71.0
"Yuma County, AZ",4027,34.0
"Arkansas County, AR",5001,22.0
"Ashley County, AR",5003,22.0
"Baxter County, AR",5005,22.0
"Benton County, AR",5007,30.0
"Boone County, AR",5009,22.0
"Bradley County, AR",5011,22.0
"Calhoun County, AR",5013,22.0
"Carroll County, AR",5015,22.0
"Chicot County, AR",5017,22.0
"Clark County, AR",5019,22.0
"Clay County, AR",5021,22.0
"Cleburne County, AR",5023,22.0
"Cleveland County, AR",5025,22.0
"Columbia County, AR",5027,22.0
"Conway County, AR",5029,22.0
"Craighead County, AR",5031,10.0
"Crawford County, AR",5033,22.0
"Crittenden County, AR",5035,22.0
"Cross County, AR",5037,22.0
"Dallas County, AR",5039,22.0
"Desha County, AR",5041,22.0
"Drew County, AR",5043,22.0
"Faulkner County, AR",5045,17.0
"Franklin County, AR",5047,22.0
"Fulton County, AR",5049,22.0
"Garland County, AR",5051,24.0
"Grant County, AR",5053,22.0
"Greene County, AR",5055,10.0
"Hempstead County, AR",5057,22.0
"Hot Spring County, AR",5059,22.0
"Howard County, AR",5061,22.0
"Independence County, AR",5063,22.0
"Izard County, AR",5065,22.0
"Jackson County, AR",5067,22.0
"Jefferson County, AR",5069,22.0
"Johnson County, AR",5071,22.0
"Lafayette County, AR",5073,22.0
"Lawrence County, AR",5075,22.0
"Lee County, AR",5077,22.0
"Lincoln County, AR",5079,22.0
"Little River County, AR",5081,22.0
"Logan County, AR",5083,22.0
"Lonoke County, AR",5085,22.0
"Madison County, AR",5087,22.0
"Marion County, AR",5089,22.0
"Miller County, AR",5091,22.0
"Mississippi County, AR",5093,22.0
"Monroe County, AR",5095,22.0
"Montgomery County, AR",5097,22.0
"Nevada County, AR",5099,22.0
"Newton County, AR",5101,22.0
"Ouachita County, AR",5103,22.0
"Perry County, AR",5105,22.0
"Phillips County, AR",5107,22.0
"Pike County, AR",5109,22.0
"Poinsett County, AR",5111,22.0
"Polk County, AR",5113,22.0
"Pope County, AR",5115,22.0
"Prairie County, AR",5117,22.0
"Pulaski County, AR",5119,52.0
"Randolph County, AR",5121,22.0
"St. Francis County, AR",5123,22.0
"Saline County, AR",5125,17.0
"Scott County, AR",5127,22.0
"Searcy County, AR",5129,22.0
"Sebastian County, AR",5131,29.0
"Sevier County, AR",5133,22.0
"Sharp County, AR",5135,22.0
"Stone County, AR",5137,22.0
"Union County, AR",5139,22.0
"Van Buren County, AR",5141,22.0
"Washington County, AR",5143,18.0
"White County, AR",5145,22.0
"Woodruff County, AR",5147,22.0
"Yell County, AR",5149,22.0
"Alameda County, CA",6001,139.0
"Alpine County, CA",6003,22.0
"Amador County, CA",6005,10.0
"Butte County, CA",6007,72.0
"Calaveras County, CA",6009,22.0
"Colusa County, CA",6011,22.0
"Contra Costa County, CA",6013,131.0
"Del Norte County, CA",6015,22.0
"El Dorado County, CA",6017,35.0
"Fresno County, CA",6019,86.0
"Glenn County, CA",6021,22.0
"Humboldt County, CA",6023,49.0
"Imperial County, CA",6025,24.0
"Inyo County, CA",6027,22.0
"Kern County, CA",6029,164.0
"Kings County, CA",6031,10.0
"Lake County, CA",6033,23.0
"Lassen County, CA",6035,22.0
"Los Angeles County, CA",6037,721.0
"Madera County, CA",6039,25.0
"Marin County, CA",6041,37.0
"Mariposa County, CA",6043,22.0
"Mendocino County, CA",6045,22.0
"Merced County, CA",6047,37.0
"Modoc County, CA",6049,22.0
"Mono County, CA",6051,22.0
"Monterey County, CA",6053,45.0
"Napa County, CA",6055,18.0
"Nevada County, CA",6057,25.0
"Orange County, CA",6059,323.0
"Placer County, CA",6061,39.0
"Plumas County, CA",6063,22.0
"Riverside County, CA",6065,302.0
"Sacramento County, CA",6067,228.0
"San Benito County, CA",6069,22.0
"San Bernardino County, CA",6071,204.0
"San Diego County, CA",6073,434.0
"San Francisco County, CA",6075,145.0
"San Joaquin County, CA",6077,105.0
"San Luis Obispo County, CA",6079,39.0
"San Mateo County, CA",6081,57.0
"Santa Barbara County, CA",6083,51.0
"Santa Clara County, CA",6085,156.0
"Santa Cruz County, CA",6087,55.0
"Shasta County, CA",6089,52.0
"Sierra County, CA",6091,22.0
"Siskiyou County, CA",6093,22.0
"Solano County, CA",6095,31.0
"Sonoma County, CA",6097,71.0
"Stanislaus County, CA",6099,79.0
"Sutter County, CA",6101,13.0
"Tehama County, CA",6103,12.0
"Trinity County, CA",6105,22.0
"Tulare County, CA",6107,30.0
"Tuolumne County, CA",6109,12.0
"Ventura County, CA",6111,118.0
"Yolo County, CA",6113,23.0
"Yuba County, CA",6115,22.0
"Adams County, CO",8001,98.0
"Alamosa County, CO",8003,22.0
"Arapahoe County, CO",8005,87.0
"Archuleta County, CO",8007,22.0
"Baca County, CO",8009,22.0
"Bent County, CO",8011,22.0
"Boulder County, CO",8013,37.0
"Broomfield County, CO",8014,22.0
"Chaffee County, CO",8015,22.0
"Cheyenne County, CO",8017,22.0
"Clear Creek County, CO",8019,22.0
"Conejos County, CO",8021,22.0
"Costilla County, CO",8023,22.0
"Crowley County, CO",8025,22.0
"Custer County, CO",8027,22.0
"Delta County, CO",8029,22.0
"Denver County, CO",8031,128.0
"Dolores County, CO",8033,22.0
"Douglas County, CO",8035,30.0
"Eagle County, CO",8037,22.0
"Elbert County, CO",8039,22.0
"El Paso County, CO",8041,103.0
"Fremont County, CO",8043,22.0
"Garfield County, CO",8045,22.0
"Gilpin County, CO",8047,22.0
"Grand County, CO",8049,22.0
"Gunnison County, CO",8051,22.0
"Hinsdale County, CO",8053,22.0
"Huerfano County, CO",8055,22.0
"Jackson County, CO",8057,22.0
"Jefferson County, CO",8059,81.0
"Kiowa County, CO",8061,22.0
"Kit Carson County, CO",8063,22.0
"Lake County, CO",8065,22.0
"La Plata County, CO",8067,10.0
"Larimer County, CO",8069,43.0
"Las Animas County, CO",8071,22.0
"Lincoln County, CO",8073,22.0
"Logan County, CO",8075,22.0
"Mesa County, CO",8077,27.0
"Mineral County, CO",8079,22.0
"Moffat County, CO",8081,22.0
"Montezuma County, CO",8083,22.0
"Montrose County, CO",8085,22.0
"Morgan County, CO",8087,22.0
"Otero County, CO",8089,22.0
"Ouray County, CO",8091,22.0
"Park County, CO",8093,22.0
"Phillips County, CO",8095,22.0
"Pitkin County, CO",8097,22.0
"Prowers County, CO",8099,22.0
"Pueblo County, CO",8101,41.0
