state,statefp,countyfp,county_name,fips_code,winning_party,State,Area_name,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012
AL,1,1,Autauga County,1001,Republican,AL,"Autauga County, AL",25740,23961,1779,0.069
AL,1,3,Baldwin County,1003,Republican,AL,"Baldwin County, AL",84414,78065,6349,0.075
AL,1,5,Barbour County,1005,Democrat,AL,"Barbour County, AL",9362,8283,1079,0.115
AL,1,7,Bibb County,1007,Republican,AL,"Bibb County, AL",8798,8047,751,0.085
AL,1,9,Blount County,1009,Republican,AL,"Blount County, AL",24960,23244,1716,0.069
AL,1,11,Bullock County,1011,Democrat,AL,"Bullock County, AL",4736,4245,491,0.10400000000000001
AL,1,13,Butler County,1013,Republican,AL,"Butler County, AL",9088,8039,1049,0.115
AL,1,15,Calhoun County,1015,Republican,AL,"Calhoun County, AL",49649,45252,4397,0.08900000000000001
AL,1,17,Chambers County,1017,Republican,AL,"Chambers County, AL",15140,13646,1494,0.099
AL,1,19,Cherokee County,1019,Republican,AL,"Cherokee County, AL",11268,10363,905,0.08
AL,1,21,Chilton County,1021,Republican,AL,"Chilton County, AL",19383,17982,1401,0.07200000000000001
AL,1,23,Choctaw County,1023,Republican,AL,"Choctaw County, AL",4791,4297,494,0.10300000000000001
AL,1,25,Clarke County,1025,Republican,AL,"Clarke County, AL",8374,7116,1258,0.15
AL,1,27,Clay County,1027,Republican,AL,"Clay County, AL",5413,4905,508,0.094
AL,1,29,Cleburne County,1029,Republican,AL,"Cleburne County, AL",5838,5358,480,0.08199999999999999
AL,1,31,Coffee County,1031,Republican,AL,"Coffee County, AL",20612,19159,1453,0.07
AL,1,33,Colbert County,1033,Republican,AL,"Colbert County, AL",24026,21922,2104,0.08800000000000001
AL,1,35,Conecuh County,1035,Democrat,AL,"Conecuh County, AL",4635,4082,553,0.11900000000000001
AL,1,37,Coosa County,1037,Republican,AL,"Coosa County, AL",4445,4029,416,0.094
AL,1,39,Covington County,1039,Republican,AL,"Covington County, AL",16345,14978,1367,0.084
AL,1,41,Crenshaw County,1041,Republican,AL,"Crenshaw County, AL",6251,5732,519,0.083
AL,1,43,Cullman County,1043,Republican,AL,"Cullman County, AL",35568,32835,2733,0.077
AL,1,45,Dale County,1045,Republican,AL,"Dale County, AL",21370,19781,1589,0.07400000000000001
AL,1,47,Dallas County,1047,Democrat,AL,"Dallas County, AL",16746,14583,2163,0.129
AL,1,49,DeKalb County,1049,Republican,AL,"DeKalb County, AL",28833,26224,2609,0.09
AL,1,51,Elmore County,1051,Republican,AL,"Elmore County, AL",36629,34087,2542,0.069
AL,1,53,Escambia County,1053,Republican,AL,"Escambia County, AL",14732,13374,1358,0.092
AL,1,55,Etowah County,1055,Republican,AL,"Etowah County, AL",44232,40589,3643,0.08199999999999999
AL,1,57,Fayette County,1057,Republican,AL,"Fayette County, AL",6503,5943,560,0.086
AL,1,59,Franklin County,1059,Republican,AL,"Franklin County, AL",13976,12806,1170,0.084
AL,1,61,Geneva County,1061,Republican,AL,"Geneva County, AL",11274,10421,853,0.076
AL,1,63,Greene County,1063,Democrat,AL,"Greene County, AL",3125,2701,424,0.136
AL,1,65,Hale County,1065,Democrat,AL,"Hale County, AL",6212,5499,713,0.115
AL,1,67,Henry County,1067,Republican,AL,"Henry County, AL",7030,6447,583,0.083
AL,1,69,Houston County,1069,Republican,AL,"Houston County, AL",46054,42578,3476,0.075
AL,1,71,Jackson County,1071,Republican,AL,"Jackson County, AL",23731,21695,2036,0.086
AL,1,73,Jefferson County,1073,Democrat,AL,"Jefferson County, AL",316511,293020,23491,0.07400000000000001
AL,1,75,Lamar County,1075,Republican,AL,"Lamar County, AL",5806,5369,437,0.075
AL,1,77,Lauderdale County,1077,Republican,AL,"Lauderdale County, AL",43409,40084,3325,0.077
AL,1,79,Lawrence County,1079,Republican,AL,"Lawrence County, AL",14391,13094,1297,0.09
AL,1,81,Lee County,1081,Republican,AL,"Lee County, AL",68918,64247,4671,0.068
AL,1,83,Limestone County,1083,Republican,AL,"Limestone County, AL",38990,36311,2679,0.069
AL,1,85,Lowndes County,1085,Democrat,AL,"Lowndes County, AL",4081,3452,629,0.154
AL,1,87,Macon County,1087,Democrat,AL,"Macon County, AL",8286,7397,889,0.107
AL,1,89,Madison County,1089,Republican,AL,"Madison County, AL",170209,158399,11810,0.069
AL,1,91,Marengo County,1091,Democrat,AL,"Marengo County, AL",7650,6873,777,0.102
AL,1,93,Marion County,1093,Republican,AL,"Marion County, AL",12451,11340,1111,0.08900000000000001
AL,1,95,Marshall County,1095,Republican,AL,"Marshall County, AL",40686,37523,3163,0.078
AL,1,97,Mobile County,1097,Republican,AL,"Mobile County, AL",188626,171312,17314,0.092
AL,1,99,Monroe County,1099,Republican,AL,"Monroe County, AL",7971,6971,1000,0.125
AL,1,101,Montgomery County,1101,Democrat,AL,"Montgomery County, AL",107320,98666,8654,0.081
AL,1,103,Morgan County,1103,Republican,AL,"Morgan County, AL",57410,52931,4479,0.078
AL,1,105,Perry County,1105,Democrat,AL,"Perry County, AL",3683,3192,491,0.133
AL,1,107,Pickens County,1107,Republican,AL,"Pickens County, AL",7467,6709,758,0.102
AL,1,109,Pike County,1109,Republican,AL,"Pike County, AL",15017,13819,1198,0.08
AL,1,111,Randolph County,1111,Republican,AL,"Randolph County, AL",9143,8304,839,0.092
AL,1,113,Russell County,1113,Democrat,AL,"Russell County, AL",24911,22725,2186,0.08800000000000001
AL,1,115,St. Clair County,1115,Republican,AL,"St. Clair County, AL",38516,35871,2645,0.069
AL,1,117,Shelby County,1117,Republican,AL,"Shelby County, AL",105458,100158,5300,0.05
AL,1,119,Sumter County,1119,Democrat,AL,"Sumter County, AL",5417,4848,569,0.105
AL,1,121,Talladega County,1121,Republican,AL,"Talladega County, AL",35013,31731,3282,0.094
AL,1,123,Tallapoosa County,1123,Republican,AL,"Tallapoosa County, AL",18441,16850,1591,0.086
AL,1,125,Tuscaloosa County,1125,Republican,AL,"Tuscaloosa County, AL",95340,88683,6657,0.07
AL,1,127,Walker County,1127,Republican,AL,"Walker County, AL",26574,24136,2438,0.092
AL,1,129,Washington County,1129,Republican,AL,"Washington County, AL",6875,6054,821,0.11900000000000001
AL,1,131,Wilcox County,1131,Democrat,AL,"Wilcox County, AL",2883,2308,575,0.19899999999999998
AL,1,133,Winston County,1133,Republican,AL,"Winston County, AL",9607,8647,960,0.1
AK,2,13,Aleutians East Borough,2013,Republican,AK,"Aleutians East Borough, AK",2138,1993,145,0.068
AK,2,16,Aleutians West Census Area,2016,Republican,AK,"Aleutians West Census Area, AK",4268,3972,296,0.069
AK,2,20,Anchorage Municipality,2020,Republican,AK,"Anchorage Borough/municipality, AK",158380,149897,8483,0.054000000000000006
AK,2,50,Bethel Census Area,2050,Republican,AK,"Bethel Census Area, AK",7211,6103,1108,0.154
AK,2,60,Bristol Bay Borough,2060,Republican,AK,"Bristol Bay Borough, AK",481,434,47,0.098
AK,2,68,Denali Borough,2068,Republican,AK,"Denali Borough, AK",1047,903,144,0.138
AK,2,70,Dillingham Census Area,2070,Republican,AK,"Dillingham Census Area, AK",2132,1921,211,0.099
AK,2,90,Fairbanks North Star Borough,2090,Republican,AK,"Fairbanks North Star Borough, AK",48197,45264,2933,0.061
AK,2,100,Haines Borough,2100,Republican,AK,"Haines Borough, AK",1108,997,111,0.1
AK,2,105,Hoonah-Angoon Census Area,2105,Republican,AK,"Hoonah-Angoon Census Area, AK",1109,950,159,0.14300000000000002
AK,2,110,Juneau City and Borough,2110,Republican,AK,"Juneau Borough/city, AK",17904,16991,913,0.051
AK,2,122,Kenai Peninsula Borough,2122,Republican,AK,"Kenai Peninsula Borough, AK",27367,25003,2364,0.086
AK,2,130,Ketchikan Gateway Borough,2130,Republican,AK,"Ketchikan Gateway Borough, AK",7177,6594,583,0.081
AK,2,150,Kodiak Island Borough,2150,Republican,AK,"Kodiak Island Borough, AK",6717,6268,449,0.067
AK,2,164,Lake and Peninsula Borough,2164,Republican,AK,"Lake and Peninsula Borough, AK",637,540,97,0.152
AK,2,170,Matanuska-Susitna Borough,2170,Republican,AK,"Matanuska-Susitna Borough, AK",43757,39968,3789,0.087
AK,2,180,Nome Census Area,2180,Republican,AK,"Nome Census Area, AK",4178,3690,488,0.11699999999999999
AK,2,185,North Slope Borough,2185,Republican,AK,"North Slope Borough, AK",4027,3715,312,0.077
AK,2,188,Northwest Arctic Borough,2188,Republican,AK,"Northwest Arctic Borough, AK",3031,2554,477,0.157
AK,2,195,Petersburg Census Area,2195,Republican,AK,"Petersburg Borough, AK",1878,1725,153,0.081
AK,2,198,Prince of Wales-Hyder Census Area,2198,Republican,AK,"Prince of Wales-Hyder Census Area, AK",2591,2247,344,0.133
AK,2,220,Sitka City and Borough,2220,Republican,AK,"Sitka Borough/city, AK",4647,4384,263,0.057
AK,2,230,Skagway Municipality,2230,Republican,AK,"Skagway Municipality, AK",754,648,106,0.141
AK,2,240,Southeast Fairbanks Census Area,2240,Republican,AK,"Southeast Fairbanks Census Area, AK",3038,2647,391,0.129
AK,2,261,Valdez-Cordova Census Area,2261,Republican,AK,"Valdez-Cordova Census Area, AK",4894,4419,475,0.09699999999999999
AK,2,275,Wrangell City and Borough,2275,Republican,AK,"Wrangell Borough/city, AK",1026,942,84,0.08199999999999999
AK,2,282,Yakutat City and Borough,2282,Republican,AK,"Yakutat Borough/city, AK",288,260,28,0.09699999999999999
AK,2,290,Yukon-Koyukuk Census Area,2290,Republican,AK,"Yukon-Koyukuk Census Area, AK",2773,2291,482,0.174
AZ,4,1,Apache County,4001,Democrat,AZ,"Apache County, AZ",22804,18480,4324,0.19
AZ,4,3,Cochise County,4003,Republican,AZ,"Cochise County, AZ",53893,49022,4871,0.09
AZ,4,5,Coconino County,4005,Democrat,AZ,"Coconino County, AZ",71025,64915,6110,0.086
AZ,4,7,Gila County,4007,Republican,AZ,"Gila County, AZ",20921,18784,2137,0.102
AZ,4,9,Graham County,4009,Republican,AZ,"Graham County, AZ",14471,13241,1230,0.085
AZ,4,11,Greenlee County,4011,Republican,AZ,"Greenlee County, AZ",3553,3261,292,0.08199999999999999
AZ,4,12,La Paz County,4012,Republican,AZ,"La Paz County, AZ",8136,7440,696,0.086
AZ,4,13,Maricopa County,4013,Republican,AZ,"Maricopa County, AZ",1895398,1757365,138033,0.073
AZ,4,15,Mohave County,4015,Republican,AZ,"Mohave County, AZ",77574,69025,8549,0.11
AZ,4,17,Navajo County,4017,Republican,AZ,"Navajo County, AZ",42953,36886,6067,0.141
AZ,4,19,Pima County,4019,Democrat,AZ,"Pima County, AZ",462851,428751,34100,0.07400000000000001
AZ,4,21,Pinal County,4021,Republican,AZ,"Pinal County, AZ",148671,135977,12694,0.085
AZ,4,23,Santa Cruz County,4023,Democrat,AZ,"Santa Cruz County, AZ",20120,17013,3107,0.154
AZ,4,25,Yavapai County,4025,Republican,AZ,"Yavapai County, AZ",92711,84769,7942,0.086
AZ,4,27,Yuma County,4027,Republican,AZ,"Yuma County, AZ",93798,71421,22377,0.239
AR,5,1,Arkansas County,5001,Republican,AR,"Arkansas County, AR",9913,9044,869,0.08800000000000001
AR,5,3,Ashley County,5003,Republican,AR,"Ashley County, AR",9298,8158,1140,0.12300000000000001
AR,5,5,Baxter County,5005,Republican,AR,"Baxter County, AR",16373,14994,1379,0.084
AR,5,7,Benton County,5007,Republican,AR,"Benton County, AR",110768,104109,6659,0.06
AR,5,9,Boone County,5009,Republican,AR,"Boone County, AR",16523,15264,1259,0.076
AR,5,11,Bradley County,5011,Republican,AR,"Bradley County, AR",4371,3886,485,0.111
AR,5,13,Calhoun County,5013,Republican,AR,"Calhoun County, AR",2511,2282,229,0.091
