fips_code,county_name,heart_disease_deathrate_per_100000
1001,"""Autauga, (AL)""",613.6
1003,"""Baldwin, (AL)""",515.9
1005,"""Barbour, (AL)""",664.4
1007,"""Bibb, (AL)""",700.4
1009,"""Blount, (AL)""",553.1
1011,"""Bullock, (AL)""",613.9
1013,"""Butler, (AL)""",700.0
1015,"""Calhoun, (AL)""",649.2
1017,"""Chambers, (AL)""",678.5
1019,"""Cherokee, (AL)""",591.3
1021,"""Chilton, (AL)""",636.5
1023,"""Choctaw, (AL)""",663.6
1025,"""Clarke, (AL)""",596.6
1027,"""Clay, (AL)""",671.3
1029,"""Cleburne, (AL)""",605.3
1031,"""Coffee, (AL)""",589.6
1033,"""Colbert, (AL)""",625.8
1035,"""Conecuh, (AL)""",631.4
1037,"""Coosa, (AL)""",575.0
1039,"""Covington, (AL)""",586.7
1041,"""Crenshaw, (AL)""",591.5
1043,"""Cullman, (AL)""",667.7
1045,"""Dale, (AL)""",580.6
1047,"""Dallas, (AL)""",758.1
1049,"""DeKalb, (AL)""",663.0
1051,"""Elmore, (AL)""",584.8
1053,"""Escambia, (AL)""",651.8
1055,"""Etowah, (AL)""",674.4
1057,"""Fayette, (AL)""",642.0
1059,"""Franklin, (AL)""",753.1
1061,"""Geneva, (AL)""",626.4
1063,"""Greene, (AL)""",705.8
1065,"""Hale, (AL)""",646.0
1067,"""Henry, (AL)""",625.1
1069,"""Houston, (AL)""",566.6
1071,"""Jackson, (AL)""",664.4
1073,"""Jefferson, (AL)""",525.7
1075,"""Lamar, (AL)""",591.0
1077,"""Lauderdale, (AL)""",511.2
1079,"""Lawrence, (AL)""",684.1
1081,"""Lee, (AL)""",455.3
1083,"""Limestone, (AL)""",558.4
1085,"""Lowndes, (AL)""",684.1
1087,"""Macon, (AL)""",602.1
1089,"""Madison, (AL)""",455.9
1091,"""Marengo, (AL)""",721.1
1093,"""Marion, (AL)""",645.2
1095,"""Marshall, (AL)""",636.1
1097,"""Mobile, (AL)""",590.9
1099,"""Monroe, (AL)""",628.9
1101,"""Montgomery, (AL)""",525.2
1103,"""Morgan, (AL)""",634.3
1105,"""Perry, (AL)""",695.1
1107,"""Pickens, (AL)""",641.5
1109,"""Pike, (AL)""",567.1
1111,"""Randolph, (AL)""",610.9
1113,"""Russell, (AL)""",554.0
1115,"""St. Clair, (AL)""",570.9
1117,"""Shelby, (AL)""",437.0
1119,"""Sumter, (AL)""",669.4
1121,"""Talladega, (AL)""",645.9
