fips_code,inactivity%
01001,28.7
01003,25.2
01005,32.9
01007,33.2
01009,28.5
01011,33.1
01013,34.4
01015,33.6
01017,34.8
01019,31.0
01021,32.0
01023,33.8
01025,30.2
01027,36.2
01029,33.2
01031,29.4
01033,29.7
01035,33.5
01037,30.8
01039,35.5
01041,31.6
01043,28.4
01045,27.8
01047,34.2
01049,32.4
01051,29.7
01053,33.4
01055,32.5
01057,30.5
01059,34.8
01061,30.5
01063,33.1
01065,35.3
01067,28.8
01069,30.5
01071,32.0
01073,28.3
01075,33.1
01077,29.6
01079,34.9
01081,23.2
01083,31.6
01085,30.8
01087,31.1
01089,24.6
01091,34.7
01093,35.7
01095,31.6
01097,29.6
01099,32.1
01101,28.0
01103,30.5
01105,32.6
01107,33.6
01109,28.5
01111,30.6
01113,31.1
01115,28.6
01117,23.6
01119,31.2
01121,34.1
01123,32.2
01125,28.2
01127,33.8
01129,33.3
01131,32.3
01133,30.6
02013,29.0
02016,23.9
02020,18.2
02050,26.7
02060,22.9
02068,17.6
02070,25.5
02090,19.7
02100,19.8
02105,20.7
02110,16.3
02122,23.7
02130,21.7
02150,19.9
02164,23.3
02170,21.8
02180,26.9
02185,25.3
02188,26.3
02195,20.3
02198,29.0
02220,17.3
02230,18.5
02240,20.9
02261,23.1
02275,21.5
02282,24.7
02290,25.2
04001,21.8
04003,23.0
04005,16.3
04007,25.8
04009,23.4
04011,24.2
04012,30.3
04013,19.6
04015,31.7
04017,24.1
04019,18.1
04021,26.1
04023,18.9
04025,20.2
04027,27.6
05001,37.1
05003,33.7
05005,31.6
05007,24.8
05009,32.8
05011,36.7
05013,35.7
05015,33.0
05017,38.0
05019,31.8
05021,40.3
05023,38.9
05025,32.0
05027,34.5
05029,32.6
05031,33.8
05033,32.8
05035,34.4
05037,35.5
05039,37.5
05041,34.9
05043,31.8
05045,30.3
05047,33.4
05049,32.9
05051,28.4
05053,32.7
05055,38.6
05057,35.5
05059,37.4
05061,33.7
05063,36.5
05065,34.7
05067,39.0
05069,36.4
05071,37.1
05073,35.0
05075,37.7
05077,35.4
