fips_code,liquor_store_count
01001,2.0
01003,25.0
01005,2.0
01007,2.0
01009,3.0
01011,1.0
01013,2.0
01015,5.0
01017,2.0
01019,3.0
01021,3.0
01023,1.0
01025,2.0
01027,3.0
01029,1.0
01031,3.0
01033,10.0
01035,2.0
01037,3.0
01039,3.0
01041,1.0
01043,4.0
01045,3.0
01047,2.0
01049,2.0
01051,3.0
01053,2.0
01055,8.0
01057,1.0
01059,3.0
01061,2.0
01063,1.0
01065,1.0
01067,2.0
01069,8.0
01071,5.0
01073,56.0
01075,1.0
01077,12.0
01079,3.0
01081,7.0
01083,3.0
01085,3.0
01087,1.0
01089,30.0
01091,2.0
01093,2.0
01095,12.0
01097,39.0
01099,2.0
01101,18.0
01103,8.0
01105,1.0
01107,3.0
01109,3.0
01111,1.0
01113,1.0
01115,6.0
01117,16.0
01119,2.0
01121,4.0
01123,3.0
01125,12.0
01127,5.0
01129,3.0
01131,3.0
01133,3.0
02013,3.0
02016,1.0
02020,37.0
02050,3.0
02060,2.0
02068,1.0
02070,1.0
02090,7.0
02100,2.0
02105,2.0
02110,5.0
02122,13.0
02130,3.0
02150,1.0
02164,3.0
02170,11.0
02180,2.0
02185,3.0
02188,3.0
02195,3.0
02198,1.0
02220,2.0
02230,1.0
02240,2.0
02261,2.0
02275,1.0
02282,1.0
02290,3.0
04001,3.0
04003,6.0
04005,9.0
04007,2.0
04009,1.0
04011,3.0
04012,1.0
04013,120.0
04015,2.0
04017,3.0
04019,30.0
04021,8.0
04023,2.0
04025,13.0
04027,11.0
05001,4.0
05003,1.0
05005,12.0
05007,1.0
05009,4.0
05011,3.0
05013,2.0
05015,6.0
05017,2.0
05019,4.0
05021,3.0
05023,3.0
05025,2.0
05027,3.0
05029,12.0
05031,3.0
05033,1.0
05035,4.0
05037,2.0
05039,2.0
05041,5.0
05043,2.0
05045,3.0
05047,10.0
05049,3.0
05051,27.0
05053,3.0
05055,5.0
05057,2.0
05059,3.0
05061,3.0
05063,3.0
05065,3.0
05067,5.0
05069,15.0
05071,3.0
05073,3.0
05075,3.0
05077,3.0
05079,3.0
05081,3.0
05083,1.0
05085,3.0
05087,3.0
05089,3.0
05091,17.0
05093,4.0
05095,2.0
05097,3.0
05099,3.0
05101,3.0
05103,5.0
05105,1.0
05107,3.0
05109,3.0
05111,6.0
05113,1.0
05115,1.0
05117,3.0
05119,78.0
05121,3.0
05123,5.0
05125,1.0
05127,3.0
05129,1.0
05131,18.0
05133,3.0
05135,3.0
05137,3.0
05139,7.0
05141,3.0
05143,25.0
05145,1.0
05147,2.0
05149,3.0
06001,181.0
06003,3.0
