naics,fips_code,liquor_store_count
445310,1001,2
445310,1003,25
445310,1005,2
445310,1007,2
445310,1011,1
445310,1013,2
445310,1015,5
445310,1017,2
445310,1021,3
445310,1023,1
445310,1025,2
445310,1029,1
445310,1031,3
445310,1033,10
445310,1035,2
445310,1039,3
445310,1041,1
445310,1043,4
445310,1045,3
445310,1047,2
445310,1049,2
445310,1051,3
445310,1053,2
445310,1055,8
445310,1057,1
445310,1059,3
445310,1061,2
445310,1063,1
445310,1065,1
445310,1067,2
445310,1069,8
445310,1071,5
445310,1073,56
445310,1075,1
445310,1077,12
445310,1081,7
445310,1083,3
445310,1087,1
445310,1089,30
445310,1091,2
445310,1093,2
445310,1095,12
445310,1097,39
445310,1099,2
445310,1101,18
445310,1103,8
445310,1105,1
445310,1109,3
445310,1111,1
445310,1113,1
445310,1115,6
445310,1117,16
445310,1119,2
445310,1121,4
445310,1123,3
445310,1125,12
445310,1127,5
445310,1131,3
445310,1133,3
445310,2016,1
445310,2020,37
445310,2060,2
445310,2068,1
445310,2070,1
445310,2090,7
445310,2100,2
445310,2105,2
445310,2110,5
445310,2122,13
445310,2130,3
445310,2150,1
445310,2170,11
445310,2180,2
445310,2195,3
445310,2198,1
445310,2220,2
445310,2230,1
445310,2240,2
445310,2261,2
445310,2275,1
445310,2282,1
445310,4003,6
445310,4005,9
445310,4007,2
445310,4009,1
445310,4012,1
445310,4013,120
445310,4015,2
445310,4017,3
445310,4019,30
445310,4021,8
445310,4023,2
445310,4025,13
445310,4027,11
445310,5001,4
445310,5003,1
445310,5005,12
445310,5007,1
445310,5009,4
445310,5013,2
445310,5015,6
445310,5017,2
445310,5019,4
445310,5025,2
445310,5029,12
445310,5033,1
445310,5035,4
445310,5037,2
445310,5039,2
445310,5041,5
445310,5043,2
445310,5047,10
445310,5051,27
445310,5055,5
445310,5057,2
445310,5067,5
445310,5069,15
445310,5077,3
445310,5083,1
445310,5089,3
445310,5091,17
445310,5093,4
445310,5095,2
445310,5103,5
445310,5105,1
445310,5107,3
445310,5111,6
445310,5113,1
445310,5115,1
445310,5117,3
445310,5119,78
445310,5123,5
445310,5125,1
445310,5129,1
445310,5131,18
445310,5139,7
445310,5143,25
445310,5145,1
445310,5147,2
445310,6001,181
445310,6005,4
445310,6007,22
445310,6009,2
445310,6011,1
445310,6013,65
445310,6015,3
445310,6017,18
445310,6019,89
445310,6021,1
445310,6023,12
445310,6025,7
445310,6029,45
445310,6031,6
445310,6033,6
445310,6037,1120
445310,6039,13
445310,6041,22
445310,6043,2
445310,6045,12
445310,6047,16
445310,6051,1
445310,6053,43
445310,6055,50
445310,6057,9
445310,6059,278
445310,6061,18
445310,6063,1
445310,6065,129
445310,6067,115
445310,6069,6
445310,6071,222
445310,6073,351
445310,6075,109
445310,6077,51
445310,6079,55
445310,6081,53
445310,6083,81
445310,6085,168
445310,6087,37
445310,6089,9
445310,6093,5
445310,6095,28
445310,6097,65
445310,6099,40
445310,6101,3
445310,6103,1
445310,6107,20
445310,6109,1
445310,6111,122
445310,6113,7
445310,6115,8
445310,8001,97
445310,8003,5
445310,8005,113
445310,8007,5
445310,8011,1
445310,8013,67
445310,8014,11
445310,8015,9
445310,8019,2
445310,8021,1
445310,8027,2
445310,8029,11
445310,8031,185
445310,8033,1
445310,8035,41
445310,8037,27
445310,8039,1
445310,8041,118
445310,8043,11
445310,8045,22
445310,8049,10
445310,8051,11
445310,8053,1
445310,8055,3
445310,8057,1
445310,8059,141
445310,8063,3
445310,8065,1
445310,8067,20
445310,8069,67
445310,8071,5
445310,8073,1
445310,8075,3
445310,8077,33
445310,8081,7
445310,8083,9
445310,8085,12
445310,8087,6
445310,8089,4
445310,8091,3
445310,8093,3
445310,8097,8
445310,8099,1
445310,8101,37
445310,8103,5
445310,8105,5
445310,8107,11
445310,8109,1
445310,8111,1
445310,8113,4
445310,8117,17
445310,8119,9
445310,8121,1
445310,8123,57
445310,8125,5
445310,9001,168
445310,9003,194
445310,9005,50
445310,9007,47
445310,9009,168
445310,9011,68
445310,9013,40
445310,9015,25
445310,10001,39
445310,10003,138
445310,10005,59
445310,11001,183
445310,12001,26
445310,12003,1
445310,12005,23
445310,12009,42
445310,12011,121
445310,12013,1
445310,12015,12
445310,12017,10
445310,12019,11
445310,12021,19
445310,12023,5
445310,12027,2
445310,12029,2
445310,12031,54
445310,12033,19
445310,12035,6
445310,12037,4
