fips_code,median_age
01001,37.0
01003,41.2
01005,38.2
01007,39.4
01009,39.1
01011,40.7
01013,40.3
01015,38.7
01017,41.4
01019,44.3
01021,37.6
01023,44.0
01025,39.9
01027,41.7
01029,41.2
01031,37.8
01033,41.7
01035,43.3
01037,44.4
01039,42.5
01041,40.3
01043,40.1
01045,36.0
01047,37.3
01049,37.9
01051,37.7
01053,38.7
01055,40.2
01057,43.1
01059,38.3
01061,42.2
01063,41.4
01065,40.4
01067,42.9
01069,38.3
01071,41.4
01073,37.0
01075,42.6
01077,40.4
01079,41.0
01081,29.6
01083,38.7
01085,40.7
01087,36.6
01089,37.3
01091,41.1
01093,43.2
01095,38.1
01097,36.6
01099,40.0
01101,34.7
01103,38.7
01105,37.0
01107,41.4
01109,31.3
01111,40.7
01113,35.6
01115,38.8
01117,36.9
01119,37.1
01121,39.4
01123,41.8
01125,31.4
01127,41.5
01129,39.5
01131,38.8
01133,43.1
02013,40.7
02016,39.1
02020,32.9
02050,26.1
02060,42.7
02068,41.4
02070,28.6
02090,30.7
02100,42.9
02105,48.3
02110,37.8
02122,40.9
02130,38.4
02150,31.5
02164,28.7
02170,34.8
02180,28.0
02185,34.2
02188,25.7
02195,42.2
02198,39.0
02220,38.8
02230,46.7
02240,36.3
02261,39.6
02275,50.8
02282,39.1
02290,35.6
04001,32.1
04003,39.9
04005,30.9
04007,47.8
04009,31.8
04011,33.7
04012,54.1
04013,34.6
04015,47.4
04017,34.8
04019,37.7
04021,35.8
04023,35.5
04025,49.3
04027,33.6
05001,41.5
05003,39.5
05005,50.8
05007,34.5
05009,41.4
05011,40.2
05013,42.4
05015,44.2
05017,42.5
05019,33.6
05021,42.9
05023,46.4
05025,40.2
05027,36.1
05029,40.4
05031,33.1
05033,38.0
05035,33.8
05037,39.4
05039,42.9
05041,39.1
05043,37.5
05045,31.4
05047,40.8
05049,46.9
05051,44.2
05053,39.4
05055,37.8
05057,38.6
05059,39.6
05061,37.1
05063,38.0
05065,47.3
05067,40.9
05069,37.2
05071,37.6
05073,42.9
05075,39.8
05077,39.8
05079,37.7
05081,41.1
05083,41.7
05085,35.5
05087,40.4
05089,50.2
05091,37.5
05093,34.6
05095,43.5
05097,46.4
05099,39.6
05101,46.6
05103,42.6
05105,42.1
05107,37.3
05109,39.8
05111,39.6
05113,43.4
05115,35.3
05117,44.6
05119,36.0
05121,41.3
05123,36.9
05125,38.7
05127,41.4
05129,47.1
05131,36.6
05133,33.9
05135,46.4
05137,46.9
05139,39.8
05141,46.5
05143,31.1
05145,36.1
05147,43.3
05149,38.4
06001,36.6
06003,43.2
06005,48.4
06007,37.3
06009,49.5
06011,33.9
06013,38.5
06015,38.8
06017,43.5
06019,30.7
06021,36.5
06023,37.5
06025,31.8
06027,45.7
06029,30.7
06031,31.2
06033,44.8
06035,37.4
06037,34.8
06039,33.2
06041,44.6
06043,49.4
06045,41.7
06047,29.7
06049,46.8
06051,37.1
06053,32.9
06055,39.6
06057,48.0
06059,36.2
06061,40.2
06063,49.4
06065,33.7
06067,34.9
06069,34.1
06071,31.7
06073,34.7
06075,38.5
06077,32.6
06079,39.3
06081,39.3
06083,33.6
06085,36.2
06087,36.9
06089,41.9
06091,51.6
06093,47.0
06095,37.0
06097,39.8
06099,32.8
06101,34.5
06103,39.6
06105,49.2
06107,29.7
06109,48.0
06111,36.4
06113,30.5
06115,31.9
08001,32.4
08003,32.2
08005,35.7
08007,47.5
08009,47.8
08011,40.6
08013,35.6
08014,36.5
08015,47.3
08017,41.0
08019,45.8
08021,38.2
08023,47.4
08025,39.4
08027,52.7
08029,46.1
08031,33.7
08033,46.5
08035,36.7
08037,34.2
08039,43.0
08041,34.1
08043,43.0
08045,34.7
08047,44.5
08049,41.1
08051,34.3
08053,56.5
08055,51.5
08057,46.5
08059,40.2
08061,40.1
08063,39.0
08065,34.2
08067,37.7
08069,35.4
08071,44.2
08073,39.4
