fips_code,median_household_income
01001,51441
01003,48867
01005,30287
01007,37392
01009,44225
01011,25854
01013,30605
01015,39212
01017,32320
01019,37868
01021,39621
01023,33390
01025,34606
01027,34579
01029,38235
01031,45631
01033,39771
01035,27110
01037,32960
01039,34017
01041,33648
01043,37938
01045,40125
01047,27400
01049,37644
01051,52324
01053,33588
01055,35737
01057,35720
01059,33173
01061,33347
01063,24592
01065,31025
01067,37108
01069,40609
01071,39618
01073,43967
01075,33940
01077,41536
01079,38524
01081,43182
01083,49616
01085,28544
01087,27709
01089,57072
01091,31888
01093,32237
01095,36960
01097,39546
01099,36221
01101,41430
01103,44766
01105,25215
01107,31433
01109,32411
01111,35024
01113,34310
01115,50989
01117,67244
01119,24059
01121,34785
01123,36463
01125,41495
01127,36600
01129,39173
01131,22126
01133,32663
02013,51514
02016,69192
02020,71094
02050,41722
02060,66178
02068,66325
02070,47498
02090,63979
02100,49890
02105,40371
02110,76967
02122,60431
02130,61296
02150,61498
02164,44657
02170,68109
02180,47022
02185,69138
02188,52945
02195,57728
02198,44721
02220,61771
02230,65379
02240,56456
02261,65098
02275,47373
02282,47565
02290,33998
04001,32886
04003,43017
04005,45509
04007,38267
04009,41080
04011,53312
04012,35236
04013,51442
04015,34966
04017,34662
04019,44745
04021,50362
04023,36660
04025,43397
04027,39072
05001,37907
05003,39276
05005,35315
05007,52717
05009,35848
05011,31940
05013,36216
05015,34096
05017,26911
05019,34482
05021,32642
05023,41337
05025,41338
05027,35024
05029,35832
05031,42437
05033,39367
05035,36588
05037,35839
05039,30984
05041,30298
05043,33682
05045,49843
05047,39763
05049,31988
05051,39617
05053,47421
05055,38771
05057,32292
05059,41754
05061,33049
05063,37818
05065,29663
05067,30604
05069,36346
05071,34322
05073,28857
05075,29229
05077,26046
05079,36222
05081,35406
05083,33850
05085,51212
05087,33428
05089,31516
05091,38225
05093,34058
05095,29032
05097,32779
05099,32107
05101,29316
05103,32749
05105,40119
05107,26013
05109,33144
05111,32248
05113,31749
05115,40206
05117,36191
05119,44819
05121,33870
05123,32932
05125,57787
05127,30630
05129,26330
05131,38730
05133,32662
05135,30076
05137,28442
05139,40026
05141,35876
05143,41856
05145,40950
05147,29184
05149,38322
06001,70209
06003,46336
06005,51388
06007,40748
06009,50962
06011,49871
06013,74208
06015,37305
06017,68446
06019,41563
06021,41201
06023,39837
06025,38185
06027,45748
06029,45599
06031,45464
06033,35437
06035,47480
06037,52929
06039,42054
06041,88654
06043,43166
06045,41088
06047,42552
06049,36724
06051,53067
06053,56038
06055,65698
06057,54230
06059,71866
06061,69521
06063,46450
06065,52416
06067,52617
06069,60577
06071,50603
06073,60235
06075,72093
06077,50431
06079,58427
06081,81568
06083,60683
06085,91195
06087,65799
06089,44477
06091,45157
06093,36597
06095,61976
06097,59855
06099,46324
06101,46524
06103,38577
06105,35162
06107,40197
06109,46624
06111,71043
06113,51040
06115,41599
08001,55695
08003,37731
08005,60525
08007,46127
08009,37775
08011,33540
08013,66894
08014,81040
08015,44651
08017,51093
08019,65359
08021,31970
08023,26075
08025,30460
08027,46744
08029,41208
08031,50455
08033,39254
08035,98426
08037,69870
08039,81528
08041,55312
08043,40809
08045,54088
08047,61447
08049,56191
08051,49861
08053,50177
08055,31574
08057,43190
08059,67401
08061,40216
08063,44059
08065,45504
08067,55888
08069,56132
08071,38713
08073,38098
08075,42740
08077,46940
08079,47169
08081,57023
08083,40351
08085,45226
08087,44577
08089,35026
08091,61657
08093,60731
08095,46216
08097,67057
08099,36580
08101,41209
08103,57922
08105,37837
08107,62271
08109,30197
08111,35734
08113,53477
08115,37633
08117,61286
08119,59558
08121,43446
08123,55332
08125,45059
09001,79536
09003,63374
09005,67746
09007,74588
09009,59217
09011,65573
09013,75048
09015,54221
10001,51695
10003,62086
10005,48684
11001,65231
12001,41297
12003,45721
12005,45259
12007,38680
12009,46332
12011,49564
12013,33418
12015,44454
12017,38937
12019,56359
12021,54475
12023,37091
12027,33602
12029,31913
12031,43835
12033,44539
12035,44460
12037,37868
12039,35854
12041,38016
12043,37004
12045,34940
12047,32232
12049,34012
12051,36515
12053,37093
12055,34722
12057,46534
12059,36272
12061,42638
12063,34978
12065,38244
12067,34054
12069,41579
12071,46396
12073,46014
12075,32815
12077,37726
12079,31469
12081,46999
12083,37287
12085,47120
12086,41311
12087,52152
12089,55367
12091,52381
12093,34742
12095,45565
12097,42743
12099,51217
12101,42695
12103,44819
12105,41337
12107,33593
12109,62112
12111,41934
12113,59854
12115,48239
12117,54901
12119,47017
12121,34434
12123,36257
12125,39486
12127,40114
12129,46773
12131,40239
12133,36560
13001,35757
13003,28693
13005,32460
13007,30042
13009,35412
13011,43102
13013,49608
13015,46693
13017,29155
13019,32955
13021,36198
13023,40922
13025,36303
13027,32176
13029,61561
13031,35078
13033,32324
13035,42815
13037,28818
13039,51638
13043,31703
13045,43636
13047,46600
13049,32626
13051,42694
13053,43020
13055,34976
13057,68800
13059,32720
13061,26957
13063,37594
13065,31347
13067,62596
13069,32646
13071,32692
13073,69582
13075,32107
13077,61153
13079,42409
13081,29175
13083,40984
13085,54503
13087,30331
13089,49061
13091,32926
13093,30371
13095,31065
13097,51540
13099,30953
13101,32664
13103,62568
13105,33081
13107,28254
13109,31683
13111,35474
13113,78717
13115,38523
13117,87380
13119,35150
13121,55816
13123,39637
13125,35637
13127,43782
13129,41141
13131,32860
13133,43406
13135,56665
13137,41343
13139,49636
13141,25416
13143,39407
13145,63806
13147,36483
13149,39756
13151,57848
13153,54307
13155,32965
13157,50403
13159,41842
13161,32867
13163,29316
13165,29525
13167,28995
13169,51941
13171,38892
13173,33481
13175,34910
13177,63338
