fips_code,county_name,international_mig,domestic_mig,net_mig
0,United States,899576.0,0.0,899576.0
1000,Alabama,4695.0,414.0,5109.0
1001,Autauga County,2.0,-294.0,-292.0
1003,Baldwin County,176.0,3333.0,3509.0
1005,Barbour County,-10.0,-192.0,-202.0
1007,Bibb County,13.0,-111.0,-98.0
1009,Blount County,18.0,-67.0,-49.0
1011,Bullock County,16.0,-90.0,-74.0
1013,Butler County,5.0,-160.0,-155.0
1015,Calhoun County,63.0,-591.0,-528.0
1017,Chambers County,19.0,138.0,157.0
1019,Cherokee County,8.0,28.0,36.0
1021,Chilton County,8.0,-140.0,-132.0
1023,Choctaw County,0.0,-20.0,-20.0
1025,Clarke County,6.0,-424.0,-418.0
1027,Clay County,-1.0,-181.0,-182.0
1029,Cleburne County,-1.0,-73.0,-74.0
1031,Coffee County,197.0,358.0,555.0
1033,Colbert County,17.0,68.0,85.0
1035,Conecuh County,1.0,-163.0,-162.0
1037,Coosa County,-3.0,-127.0,-130.0
1039,Covington County,2.0,-158.0,-156.0
1041,Crenshaw County,9.0,27.0,36.0
1043,Cullman County,24.0,-83.0,-59.0
1045,Dale County,196.0,-270.0,-74.0
1047,Dallas County,-2.0,-550.0,-552.0
1049,DeKalb County,56.0,-654.0,-598.0
1051,Elmore County,74.0,-107.0,-33.0
1053,Escambia County,3.0,-134.0,-131.0
1055,Etowah County,18.0,217.0,235.0
1057,Fayette County,-1.0,-6.0,-7.0
1059,Franklin County,57.0,-170.0,-113.0
1061,Geneva County,-1.0,212.0,211.0
1063,Greene County,0.0,-89.0,-89.0
1065,Hale County,0.0,-32.0,-32.0
1067,Henry County,3.0,-122.0,-119.0
1069,Houston County,57.0,509.0,566.0
1071,Jackson County,38.0,-128.0,-90.0
1073,Jefferson County,519.0,-2792.0,-2273.0
1075,Lamar County,1.0,-11.0,-10.0
1077,Lauderdale County,47.0,182.0,229.0
1079,Lawrence County,3.0,-259.0,-256.0
1081,Lee County,621.0,2699.0,3320.0
1083,Limestone County,80.0,1419.0,1499.0
1085,Lowndes County,0.0,-325.0,-325.0
1087,Macon County,1.0,-692.0,-691.0
1089,Madison County,535.0,1190.0,1725.0
1091,Marengo County,21.0,-334.0,-313.0
1093,Marion County,17.0,-129.0,-112.0
1095,Marshall County,43.0,26.0,69.0
1097,Mobile County,491.0,-1538.0,-1047.0
1099,Monroe County,0.0,-160.0,-160.0
1101,Montgomery County,462.0,-2124.0,-1662.0
1103,Morgan County,54.0,-87.0,-33.0
1105,Perry County,4.0,-323.0,-319.0
1107,Pickens County,1.0,10.0,11.0
1109,Pike County,83.0,-65.0,18.0
1111,Randolph County,-5.0,-168.0,-173.0
1113,Russell County,117.0,2222.0,2339.0
1115,St. Clair County,36.0,539.0,575.0
1117,Shelby County,157.0,1561.0,1718.0
1119,Sumter County,25.0,-63.0,-38.0
1121,Talladega County,30.0,124.0,154.0
1123,Tallapoosa County,9.0,-300.0,-291.0
1125,Tuscaloosa County,230.0,781.0,1011.0
1127,Walker County,34.0,-285.0,-251.0
1129,Washington County,13.0,-222.0,-209.0
1131,Wilcox County,0.0,-122.0,-122.0
1133,Winston County,-1.0,-94.0,-95.0
2000,Alaska,2723.0,-1549.0,1174.0
2013,Aleutians East Borough,62.0,-38.0,24.0
2016,Aleutians West Census Area,86.0,2.0,88.0
2020,Anchorage Municipality,1433.0,-2378.0,-945.0
2050,Bethel Census Area,9.0,-75.0,-66.0
2060,Bristol Bay Borough,0.0,-54.0,-54.0
2068,Denali Borough,18.0,5.0,23.0
2070,Dillingham Census Area,1.0,-64.0,-63.0
2090,Fairbanks North Star Borough,513.0,545.0,1058.0
2100,Haines Borough,15.0,-14.0,1.0
2105,Hoonah-Angoon Census Area,4.0,12.0,16.0
2110,Juneau City and Borough,95.0,-13.0,82.0
2122,Kenai Peninsula Borough,35.0,181.0,216.0
2130,Ketchikan Gateway Borough,56.0,-63.0,-7.0
2150,Kodiak Island Borough,114.0,-26.0,88.0
2158,Kusilvak Census Area,0.0,-48.0,-48.0
2164,Lake and Peninsula Borough,2.0,-33.0,-31.0
2170,Matanuska-Susitna Borough,88.0,1063.0,1151.0
2180,Nome Census Area,4.0,-146.0,-142.0
2185,North Slope Borough,23.0,-38.0,-15.0
2188,Northwest Arctic Borough,3.0,-130.0,-127.0
2195,Petersburg Borough,16.0,-16.0,0.0
2198,Prince of Wales-Hyder Census Area,0.0,-53.0,-53.0
2220,Sitka City and Borough,56.0,29.0,85.0
2230,Skagway Municipality,1.0,23.0,24.0
2240,Southeast Fairbanks Census Area,35.0,-90.0,-55.0
2261,Valdez-Cordova Census Area,44.0,-108.0,-64.0
2275,Wrangell City and Borough,6.0,13.0,19.0
2282,Yakutat City and Borough,2.0,-4.0,-2.0
2290,Yukon-Koyukuk Census Area,2.0,-31.0,-29.0
4000,Arizona,11686.0,33964.0,45650.0
4001,Apache County,42.0,84.0,126.0
4003,Cochise County,470.0,-2080.0,-1610.0
4005,Coconino County,133.0,661.0,794.0
4007,Gila County,24.0,-360.0,-336.0
4009,Graham County,9.0,-401.0,-392.0
4011,Greenlee County,13.0,120.0,133.0
4012,La Paz County,30.0,-133.0,-103.0
4013,Maricopa County,7706.0,35963.0,43669.0
4015,Mohave County,-72.0,1254.0,1182.0
4017,Navajo County,40.0,-1155.0,-1115.0
4019,Pima County,1926.0,-213.0,1713.0
4021,Pinal County,802.0,1593.0,2395.0
4023,Santa Cruz County,-30.0,-646.0,-676.0
4025,Yavapai County,45.0,2064.0,2109.0
4027,Yuma County,548.0,-2787.0,-2239.0
5000,Arkansas,2995.0,-868.0,2127.0
5001,Arkansas County,20.0,51.0,71.0
5003,Ashley County,-5.0,-204.0,-209.0
5005,Baxter County,-5.0,134.0,129.0
5007,Benton County,623.0,3096.0,3719.0
5009,Boone County,-1.0,235.0,234.0
5011,Bradley County,-8.0,-147.0,-155.0
5013,Calhoun County,0.0,19.0,19.0
5015,Carroll County,29.0,118.0,147.0
5017,Chicot County,12.0,-236.0,-224.0
5019,Clark County,9.0,-157.0,-148.0
5021,Clay County,-1.0,-91.0,-92.0
5023,Cleburne County,1.0,12.0,13.0
5025,Cleveland County,1.0,-64.0,-63.0
5027,Columbia County,40.0,-291.0,-251.0
5029,Conway County,3.0,44.0,47.0
5031,Craighead County,130.0,893.0,1023.0
5033,Crawford County,24.0,-93.0,-69.0
5035,Crittenden County,9.0,-813.0,-804.0
5037,Cross County,0.0,-103.0,-103.0
5039,Dallas County,4.0,-65.0,-61.0
5041,Desha County,3.0,-164.0,-161.0
5043,Drew County,6.0,-29.0,-23.0
5045,Faulkner County,113.0,1362.0,1475.0
5047,Franklin County,4.0,-15.0,-11.0
5049,Fulton County,-1.0,-11.0,-12.0
5051,Garland County,-4.0,437.0,433.0
5053,Grant County,5.0,51.0,56.0
5055,Greene County,15.0,300.0,315.0
5057,Hempstead County,-14.0,-247.0,-261.0
5059,Hot Spring County,6.0,371.0,377.0
5061,Howard County,6.0,-169.0,-163.0
5063,Independence County,13.0,2.0,15.0
5065,Izard County,7.0,1.0,8.0
5067,Jackson County,2.0,-183.0,-181.0
5069,Jefferson County,18.0,-1524.0,-1506.0
5071,Johnson County,39.0,62.0,101.0
5073,Lafayette County,0.0,-71.0,-71.0
5075,Lawrence County,2.0,-196.0,-194.0
5077,Lee County,2.0,-92.0,-90.0
5079,Lincoln County,-1.0,-206.0,-207.0
5081,Little River County,0.0,-19.0,-19.0
5083,Logan County,17.0,-299.0,-282.0
5085,Lonoke County,146.0,166.0,312.0
5087,Madison County,5.0,-105.0,-100.0
5089,Marion County,3.0,30.0,33.0
5091,Miller County,-3.0,-259.0,-262.0
5093,Mississippi County,6.0,-675.0,-669.0
5095,Monroe County,0.0,-207.0,-207.0
5097,Montgomery County,0.0,1.0,1.0
5099,Nevada County,0.0,-80.0,-80.0
5101,Newton County,1.0,-173.0,-172.0
5103,Ouachita County,13.0,-302.0,-289.0
5105,Perry County,3.0,-37.0,-34.0
5107,Phillips County,-1.0,-665.0,-666.0
5109,Pike County,2.0,41.0,43.0
5111,Poinsett County,11.0,-158.0,-147.0
5113,Polk County,7.0,-131.0,-124.0
5115,Pope County,51.0,-237.0,-186.0
5117,Prairie County,0.0,-100.0,-100.0
5119,Pulaski County,740.0,-824.0,-84.0
5121,Randolph County,-4.0,-72.0,-76.0
5123,St. Francis County,30.0,-190.0,-160.0
5125,Saline County,91.0,1328.0,1419.0
5127,Scott County,-1.0,-268.0,-269.0
5129,Searcy County,2.0,-38.0,-36.0
5131,Sebastian County,151.0,-153.0,-2.0
5133,Sevier County,-9.0,-123.0,-132.0
5135,Sharp County,8.0,-132.0,-124.0
5137,Stone County,0.0,90.0,90.0
5139,Union County,-10.0,-568.0,-578.0
5141,Van Buren County,-1.0,4.0,3.0
5143,Washington County,557.0,1211.0,1768.0
5145,White County,67.0,319.0,386.0
5147,Woodruff County,0.0,-111.0,-111.0
5149,Yell County,7.0,-149.0,-142.0
6000,California,122429.0,-43897.0,78532.0
6001,Alameda County,9925.0,3845.0,13770.0
6003,Alpine County,1.0,14.0,15.0
6005,Amador County,15.0,-310.0,-295.0
6007,Butte County,192.0,867.0,1059.0
6009,Calaveras County,16.0,-259.0,-243.0
6011,Colusa County,-3.0,-195.0,-198.0
6013,Contra Costa County,3207.0,3973.0,7180.0
6015,Del Norte County,24.0,-320.0,-296.0
6017,El Dorado County,173.0,-673.0,-500.0
6019,Fresno County,1170.0,-4560.0,-3390.0
6021,Glenn County,6.0,-396.0,-390.0
6023,Humboldt County,80.0,-811.0,-731.0
6025,Imperial County,159.0,-1184.0,-1025.0
6027,Inyo County,11.0,-30.0,-19.0
6029,Kern County,1374.0,-4074.0,-2700.0
6031,Kings County,373.0,-2856.0,-2483.0
6033,Lake County,-10.0,-162.0,-172.0
6035,Lassen County,19.0,-689.0,-670.0
6037,Los Angeles County,35429.0,-40476.0,-5047.0
6039,Madera County,28.0,-1406.0,-1378.0
6041,Marin County,732.0,-568.0,164.0
6043,Mariposa County,16.0,-335.0,-319.0
6045,Mendocino County,11.0,-344.0,-333.0
6047,Merced County,147.0,-1139.0,-992.0
6049,Modoc County,9.0,-127.0,-118.0
6051,Mono County,31.0,-212.0,-181.0
6053,Monterey County,751.0,-470.0,281.0
6055,Napa County,302.0,272.0,574.0
6057,Nevada County,38.0,-320.0,-282.0
6059,Orange County,9355.0,1976.0,11331.0
6061,Placer County,355.0,3003.0,3358.0
6063,Plumas County,8.0,-323.0,-315.0
6065,Riverside County,2352.0,11090.0,13442.0
6067,Sacramento County,3964.0,-601.0,3363.0
6069,San Benito County,0.0,204.0,204.0
6071,San Bernardino County,2808.0,-6602.0,-3794.0
6073,San Diego County,16244.0,794.0,17038.0
6075,San Francisco County,6621.0,3197.0,9818.0
6077,San Joaquin County,1056.0,-454.0,602.0
6079,San Luis Obispo County,146.0,2777.0,2923.0
6081,San Mateo County,3980.0,2737.0,6717.0
6083,Santa Barbara County,1194.0,679.0,1873.0
6085,Santa Clara County,14863.0,-2531.0,12332.0
6087,Santa Cruz County,191.0,-108.0,83.0
6089,Shasta County,165.0,283.0,448.0
6091,Sierra County,2.0,-22.0,-20.0
6093,Siskiyou County,21.0,-512.0,-491.0
6095,Solano County,1365.0,-67.0,1298.0
6097,Sonoma County,366.0,1363.0,1729.0
6099,Stanislaus County,604.0,-1191.0,-587.0
6101,Sutter County,330.0,-1205.0,-875.0
6103,Tehama County,2.0,-242.0,-240.0
6105,Trinity County,2.0,-180.0,-178.0
6107,Tulare County,-47.0,-1849.0,-1896.0
6109,Tuolumne County,48.0,-497.0,-449.0
6111,Ventura County,1082.0,-2828.0,-1746.0
6113,Yolo County,945.0,669.0,1614.0
6115,Yuba County,181.0,-512.0,-331.0
8000,Colorado,10445.0,28485.0,38930.0
8001,Adams County,624.0,3540.0,4164.0
8003,Alamosa County,6.0,-88.0,-82.0
8005,Arapahoe County,2165.0,3682.0,5847.0
8007,Archuleta County,9.0,53.0,62.0
8009,Baca County,1.0,-35.0,-34.0
8011,Bent County,10.0,-537.0,-527.0
8013,Boulder County,740.0,2616.0,3356.0
8014,Broomfield County,96.0,1054.0,1150.0
8015,Chaffee County,13.0,93.0,106.0
8017,Cheyenne County,0.0,0.0,0.0
8019,Clear Creek County,21.0,-22.0,-1.0
8021,Conejos County,5.0,-85.0,-80.0
8023,Costilla County,7.0,-41.0,-34.0
8025,Crowley County,16.0,-456.0,-440.0
8027,Custer County,0.0,24.0,24.0
8029,Delta County,17.0,25.0,42.0
8031,Denver County,1638.0,7197.0,8835.0
8033,Dolores County,0.0,-42.0,-42.0
8035,Douglas County,479.0,3234.0,3713.0
8037,Eagle County,76.0,-474.0,-398.0
8039,Elbert County,-3.0,106.0,103.0
8041,El Paso County,2756.0,654.0,3410.0
8043,Fremont County,63.0,-254.0,-191.0
8045,Garfield County,37.0,178.0,215.0
8047,Gilpin County,1.0,-4.0,-3.0
8049,Grand County,2.0,-459.0,-457.0
