fips_code,obesity_percent
01001,30.9
01003,26.7
01005,40.8
01007,40.1
01009,32.4
01011,44.5
01013,36.0
01015,32.0
01017,39.8
01019,32.7
01021,37.1
01023,38.7
01025,36.1
01027,37.7
01029,30.0
01031,30.2
01033,36.6
01035,37.2
01037,38.8
01039,31.6
01041,36.6
01043,34.7
01045,36.2
01047,42.4
01049,30.6
01051,30.3
01053,39.4
01055,34.7
01057,32.4
01059,34.2
01061,34.7
01063,45.9
01065,35.9
01067,35.2
01069,33.6
01071,30.6
01073,33.7
01075,32.5
01077,31.6
01079,36.3
01081,29.5
01083,33.5
01085,46.4
01087,42.4
01089,31.2
01091,41.3
01093,34.9
01095,35.0
01097,36.1
01099,37.2
01101,33.6
01103,32.2
01105,37.8
01107,37.4
01109,34.1
01111,33.2
01113,34.8
01115,33.1
01117,31.3
01119,39.6
01121,37.6
01123,36.5
01125,32.7
01127,32.9
01129,36.0
01131,44.4
01133,28.7
02013,31.1
02016,36.2
02020,27.0
02050,31.6
02060,34.1
02068,24.7
02070,35.3
02090,28.6
02100,26.5
02105,31.5
02110,27.0
02122,28.0
02130,29.3
02150,29.3
02164,32.4
02170,28.9
02180,33.3
02185,35.3
02188,32.5
02195,29.8
02198,35.3
02220,27.0
02230,30.6
02240,33.0
02261,30.4
02275,29.4
02282,32.1
02290,26.5
04001,32.8
04003,24.7
04005,21.5
04007,26.8
04009,31.8
04011,33.4
04012,31.5
04013,22.2
04015,28.1
04017,30.9
04019,21.7
04021,29.9
04023,21.2
04025,24.7
04027,30.4
05001,34.0
05003,39.8
05005,29.0
05007,28.4
05009,29.2
05011,37.1
05013,35.0
05015,36.2
05017,39.2
05019,31.8
05021,32.7
05023,31.2
05025,36.7
05027,38.1
05029,39.1
05031,36.4
05033,36.1
05035,38.4
05037,37.7
05039,36.2
05041,38.8
05043,30.8
05045,28.9
05047,36.8
05049,32.0
05051,31.0
05053,36.6
05055,34.1
05057,41.2
05059,32.5
05061,37.3
05063,34.0
05065,33.0
