state,fips_code,county,inactivity_count,inactivity%
Alabama,1001,Autauga County,11310.0,28.7
Alabama,1003,Baldwin County,36100.0,25.2
Alabama,1005,Barbour County,6829.0,32.9
Alabama,1007,Bibb County,5730.0,33.2
Alabama,1009,Blount County,12130.0,28.5
Alabama,1011,Bullock County,2719.0,33.1
Alabama,1013,Butler County,5271.0,34.4
Alabama,1015,Calhoun County,29470.0,33.6
Alabama,1017,Chambers County,9018.0,34.8
Alabama,1019,Cherokee County,6225.0,31.0
Alabama,1021,Chilton County,10250.0,32.0
Alabama,1023,Choctaw County,3493.0,33.8
Alabama,1025,Clarke County,5630.0,30.2
Alabama,1027,Clay County,3689.0,36.2
Alabama,1029,Cleburne County,3692.0,33.2
Alabama,1031,Coffee County,11140.0,29.4
Alabama,1033,Colbert County,12260.0,29.7
Alabama,1035,Conecuh County,3286.0,33.5
Alabama,1037,Coosa County,2660.0,30.8
Alabama,1039,Covington County,10180.0,35.5
Alabama,1041,Crenshaw County,3294.0,31.6
Alabama,1043,Cullman County,17170.0,28.4
Alabama,1045,Dale County,10290.0,27.8
Alabama,1047,Dallas County,10450.0,34.2
Alabama,1049,DeKalb County,16700.0,32.4
Alabama,1051,Elmore County,17710.0,29.7
Alabama,1053,Escambia County,9575.0,33.4
Alabama,1055,Etowah County,25430.0,32.5
Alabama,1057,Fayette County,3938.0,30.5
Alabama,1059,Franklin County,8053.0,34.8
Alabama,1061,Geneva County,6223.0,30.5
Alabama,1063,Greene County,2165.0,33.1
Alabama,1065,Hale County,4009.0,35.3
Alabama,1067,Henry County,3777.0,28.8
Alabama,1069,Houston County,23200.0,30.5
Alabama,1071,Jackson County,12880.0,32.0
Alabama,1073,Jefferson County,138000.0,28.3
Alabama,1075,Lamar County,3601.0,33.1
Alabama,1077,Lauderdale County,20780.0,29.6
Alabama,1079,Lawrence County,8850.0,34.9
Alabama,1081,Lee County,25130.0,23.2
Alabama,1083,Limestone County,20460.0,31.6
Alabama,1085,Lowndes County,2465.0,30.8
Alabama,1087,Macon County,4718.0,31.1
Alabama,1089,Madison County,62560.0,24.6
Alabama,1091,Marengo County,5205.0,34.7
Alabama,1093,Marion County,8353.0,35.7
Alabama,1095,Marshall County,21720.0,31.6
Alabama,1097,Mobile County,89190.0,29.6
Alabama,1099,Monroe County,5313.0,32.1
Alabama,1101,Montgomery County,46170.0,28.0
Alabama,1103,Morgan County,27250.0,30.5
Alabama,1105,Perry County,2344.0,32.6
Alabama,1107,Pickens County,4886.0,33.6
Alabama,1109,Pike County,7077.0,28.5
Alabama,1111,Randolph County,5162.0,30.6
Alabama,1113,Russell County,12970.0,31.1
Alabama,1115,St. Clair County,18130.0,28.6
Alabama,1117,Shelby County,34430.0,23.6
Alabama,1119,Sumter County,3107.0,31.2
Alabama,1121,Talladega County,20880.0,34.1
Alabama,1123,Tallapoosa County,10080.0,32.2
