fips_code,state_fips,county_fips,postal_code,name,poverty_estimate_all_ages,poverty_percent_all_ages,poverty_estimate_under_age_18,poverty_percent_under_age_18,poverty_estimate_ages_5-17_in_families,poverty_percent_ages_5-17_in_families,median_household_income
0,0,0,US,United States,"48,760,123",15.9,"16,396,863",22.6,"11,086,537",21,"51,371"
1000,1,0,AL,Alabama,"896,515",19,"306,451",27.6,"208,811",25.8,"41,610"
1001,1,1,AL,Autauga County,"7,017",12.7,"2,648",18.5,"1,883",17.6,"51,441"
1003,1,3,AL,Baldwin County,"26,177",13.9,"8,723",20.5,"6,109",19.4,"48,867"
1005,1,5,AL,Barbour County,"6,892",29,"2,683",47,"1,797",42.9,"30,287"
1007,1,7,AL,Bibb County,"4,371",21.5,"1,297",27.2,914,25.6,"37,392"
1009,1,9,AL,Blount County,"9,264",16.2,"3,179",23.1,"2,226",21.7,"44,225"
1011,1,11,AL,Bullock County,"2,848",32.3,949,43.2,642,42.8,"25,854"
1013,1,13,AL,Butler County,"5,247",26.3,"1,959",42.1,"1,325",38.9,"30,605"
1015,1,15,AL,Calhoun County,"24,533",21.4,"8,212",31.4,"5,825",30.5,"39,212"
1017,1,17,AL,Chambers County,"7,210",21.5,"2,557",34.7,"1,972",36.3,"32,320"
1019,1,19,AL,Cherokee County,"5,027",19.6,"1,607",29.9,"1,104",26.8,"37,868"
1021,1,21,AL,Chilton County,"8,701",20.1,"3,218",30.2,"2,095",27,"39,621"
1023,1,23,AL,Choctaw County,"2,802",20.8,890,30.1,602,26.9,"33,390"
1025,1,25,AL,Clarke County,"5,343",21.5,"1,881",31.8,"1,277",28.3,"34,606"
1027,1,27,AL,Clay County,"2,521",19.1,887,30,620,28.1,"34,579"
1029,1,29,AL,Cleburne County,"2,712",18.6,869,26,619,24.6,"38,235"
1031,1,31,AL,Coffee County,"7,650",15.1,"2,730",22.5,"1,909",21.8,"45,631"
1033,1,33,AL,Colbert County,"8,714",16.2,"2,969",25.3,"2,123",24.7,"39,771"
1035,1,35,AL,Conecuh County,"4,036",31.3,"1,330",46.3,876,40.3,"27,110"
1037,1,37,AL,Coosa County,"2,276",21,650,31.1,456,28.6,"32,960"
