fips_code,total_population,male,female,median_age,white_pop,african_american_pop,american_indian_pop,asian_pop,hawaiian_islander_pop,other_pop,hispanic_pop
1001,54590,26538,28052,37.0,43084,9880,169,439,0,212,54590
1003,183226,89270,93956,41.2,158259,17016,1038,1347,4,2645,183226
1005,27469,14749,12720,38.2,13448,12645,25,212,0,570,27469
1007,22769,12154,10615,39.4,17459,4953,80,25,0,9,22769
1009,57466,28489,28977,39.1,54507,754,230,97,0,1019,57466
1011,10779,5996,4783,40.7,3028,7609,24,0,35,0,10779
1013,20730,9738,10992,40.3,11380,8961,36,183,0,22,20730
1015,117834,56686,61148,38.7,88405,24421,318,827,84,1700,117834
1017,34228,16232,17996,41.4,20171,13409,17,178,16,47,34228
1019,25917,12748,13169,44.3,24074,1253,163,78,5,74,25917
1021,43611,21490,22121,37.6,37872,4314,160,97,0,835,43611
1023,13838,6696,7142,44.0,7670,5935,0,30,0,27,13838
1025,25768,12181,13587,39.9,14015,11310,122,94,0,47,25768
1027,13828,6786,7042,41.7,11332,2157,25,0,0,118,13828
1029,14905,7327,7578,41.2,14122,573,30,0,0,19,14905
1031,49966,24676,25290,37.8,38651,8663,440,654,0,305,49966
1033,54451,26164,28287,41.7,43915,8730,300,233,8,421,54451
1035,13188,6430,6758,43.3,6794,6130,72,12,0,0,13188
1037,11305,5761,5544,44.4,7647,3558,7,0,0,9,11305
1039,37803,18325,19478,42.5,32054,4754,203,116,35,155,37803
1041,13971,6809,7162,40.3,10142,3099,74,213,0,79,13971
1043,80403,39849,40554,40.1,77178,869,333,371,32,459,80403
1045,50129,24827,25302,36.0,37588,9834,159,662,74,380,50129
1047,43572,20042,23530,37.3,12738,30057,68,150,8,190,43572
1049,70949,34974,35975,37.9,64778,1236,1019,209,5,2156,70949
1051,79330,38822,40508,37.7,60119,16036,327,452,0,1123,79330
1053,38122,19686,18436,38.7,24024,12280,1418,142,15,12,38122
1055,104317,50374,53943,40.2,85430,15745,354,696,46,459,104317
1057,17219,8473,8746,43.1,14921,1942,38,58,0,0,17219
1059,31664,15547,16117,38.3,28001,1469,157,64,0,1650,31664
1061,26769,13024,13745,42.2,23239,2632,87,30,0,410,26769
1063,9067,4284,4783,41.4,1608,7421,25,13,0,0,9067
