naics,fips_code,unions_count
813930,1001,5
813930,1003,1
813930,1009,2
813930,1013,1
813930,1015,7
813930,1019,1
813930,1021,1
813930,1023,4
813930,1025,2
813930,1033,14
813930,1043,1
813930,1045,4
813930,1047,3
813930,1049,3
813930,1051,2
813930,1053,1
813930,1055,11
813930,1057,2
813930,1059,1
813930,1067,1
813930,1069,5
813930,1071,4
813930,1073,52
813930,1075,1
813930,1077,6
813930,1079,3
813930,1081,2
813930,1083,1
813930,1089,12
813930,1091,3
813930,1093,2
813930,1095,1
813930,1097,36
813930,1101,14
813930,1103,6
813930,1107,1
813930,1113,3
813930,1115,2
813930,1117,5
813930,1121,4
813930,1125,11
813930,1127,3
813930,1129,2
813930,1131,2
813930,2016,2
813930,2020,36
813930,2090,9
813930,2110,6
813930,2122,2
813930,2150,1
813930,4005,4
813930,4007,2
813930,4013,65
813930,4017,3
813930,4019,22
813930,4021,3
813930,4025,1
813930,4027,2
813930,5003,5
813930,5011,1
813930,5019,2
813930,5027,2
813930,5031,4
813930,5033,3
813930,5041,1
813930,5043,1
813930,5045,1
813930,5051,4
813930,5053,2
813930,5059,4
813930,5069,12
813930,5081,2
813930,5085,3
813930,5091,1
813930,5099,1
813930,5103,1
813930,5115,3
813930,5119,32
813930,5123,1
813930,5125,3
813930,5131,11
813930,5133,1
813930,5139,7
813930,5143,2
813930,5145,1
813930,6001,99
813930,6007,4
813930,6013,34
813930,6017,2
813930,6019,34
813930,6023,3
813930,6025,1
813930,6029,20
813930,6035,1
813930,6037,279
813930,6039,1
813930,6041,10
813930,6045,1
813930,6053,17
813930,6055,3
813930,6059,61
813930,6061,10
813930,6063,1
813930,6065,24
813930,6067,76
813930,6071,56
813930,6073,71
813930,6075,61
813930,6077,23
813930,6079,8
813930,6081,30
813930,6083,14
813930,6085,47
813930,6087,6
813930,6089,8
813930,6093,2
813930,6095,13
813930,6097,16
813930,6099,15
813930,6101,2
813930,6103,1
813930,6107,7
813930,6111,26
813930,6113,5
813930,6115,1
813930,8001,18
813930,8003,1
813930,8005,19
813930,8013,3
813930,8031,39
813930,8035,3
813930,8041,17
813930,8043,1
813930,8051,1
813930,8059,15
813930,8067,1
813930,8069,7
813930,8071,4
813930,8075,1
813930,8077,9
813930,8089,1
813930,8101,10
813930,8103,1
813930,8117,1
813930,8123,1
813930,9001,52
813930,9003,91
813930,9005,9
813930,9007,11
813930,9009,77
813930,9011,23
813930,9013,7
813930,9015,6
813930,10001,18
813930,10003,46
813930,10005,5
813930,11001,132
813930,12001,13
813930,12003,1
813930,12005,9
813930,12007,1
813930,12009,22
813930,12011,41
813930,12015,1
813930,12017,5
813930,12019,3
813930,12021,1
813930,12027,1
813930,12031,56
813930,12033,16
813930,12039,1
813930,12047,1
813930,12049,1
813930,12051,1
813930,12053,3
813930,12057,41
813930,12061,3
813930,12069,3
813930,12071,8
813930,12073,16
813930,12081,5
813930,12083,3
813930,12085,3
813930,12086,52
813930,12087,3
813930,12089,6
813930,12091,2
813930,12093,1
813930,12095,35
813930,12097,1
813930,12099,20
813930,12101,3
813930,12103,17
813930,12105,6
813930,12107,5
813930,12109,3
813930,12111,6
813930,12113,5
813930,12115,11
813930,12117,7
